site.ID;latitude;longitude;spatial.extent;temporal.extent;habitat;dataset
COCHACAS;-11.85;-71.32;1e3;0;MF/TF;gentry
CONSTANC;-4.25;-72.75;1e3;0;MF/TF;gentry
CUTERVO;-6.17;-78.67;1e3;0;MF/TF;gentry
CUZCOAMA;-12.58;-69.15;1e3;0;MF/TF;gentry
ELPARGO;-6.5;-79.52;1e3;0;MF/TF;gentry
INDIANA;-3.52;-73.07;1e3;0;MF/TF;gentry
JENAROHE;-4.92;-73.75;1e3;0;MF/TF;gentry
LAGENOA;-11.08;-75.42;1e3;0;MF/TF;gentry
TAHUAMPA;-3.78;-73.5;1e3;0;MF/TF;gentry
MISHNFL;-3.78;-73.5;1e3;0;MF/TF;gentry
MISHWS;-3.78;-73.5;1e3;0;MF/TF;gentry
CUYAS;-4.53;-79.73;1e3;0;MF/TF;gentry
CANDAMO;-13.5;-69.83;1e3;0;MF/TF;gentry
RIOHEATH;-12.83;-68.83;1e3;0;MF/TF;gentry
RIOTAVAR;-13.35;-69.67;1e3;0;MF/TF;gentry
SHIRINGA;-10.33;-75.17;1e3;0;MF/TF;gentry
SUCUSARI;-3.25;-72.92;1e3;0;MF/TF;gentry
TAMBUPL;-12.82;-69.72;1e3;0;MF/TF;gentry
TAMBOALL;-12.83;-69.28;1e3;0;MF/TF;gentry
TAMBLAT2;-12.78;-69.28;1e3;0;MF/TF;gentry
TAMBO;-12.78;-69.28;1e3;0;MF/TF;gentry
TARAPOTO;-6.58;-76.42;1e3;0;MF/TF;gentry
VENCER;-5.75;-77.67;1e3;0;MF/TF;gentry
YANAMTAH;-3.47;-72.83;1e3;0;MF/TF;gentry
YANAM1;-3.43;-72.85;1e3;0;MF/TF;gentry
YANAM2;-3.43;-72.85;1e3;0;MF/TF;gentry
BLOHMR;8.57;-67.58;1e3;0;MF/TF;gentry
UCHIRE;10.15;-65.43;1e3;0;MF/TF;gentry
CERONEB1;0.83;-66.18;1e3;0;MF/TF;gentry
CERONEB2;0.83;-66.18;1e3;0;MF/TF;gentry
LLANO;8.93;-67.42;1e3;0;MF/TF;gentry
SUDERHAC;54.6;9.28;1e3;0;MF/TF;gentry
ALLACHER;48.07;11.5;1e3;0;MF/TF;gentry
RUISSALO;60.53;22.47;1e3;0;MF/TF;gentry
LIESJVAR;60.67;23.92;1e3;0;MF/TF;gentry
UPPSALA;59.85;17.63;1e3;0;MF/TF;gentry
BANYONG;5;9.17;1e3;0;MF/TF;gentry
KORUP;5.9;8.7;1e3;0;MF/TF;gentry
MTCAM;4.08;9;1e3;0;MF/TF;gentry
NDAKANI;2.37;16.15;1e3;0;MF/TF;gentry
NDAKANNI;2.37;16.32;1e3;0;MF/TF;gentry
BELINGA;1.15;13.2;1e3;0;MF/TF;gentry
MAKOKOU1;0.57;12.87;1e3;0;MF/TF;gentry
MAKOKOU2;0.57;12.87;1e3;0;MF/TF;gentry
BEZA1;-23.64;44.59;1e3;0;MF/TF;gentry
BEZA2;-23.64;44.59;1e3;0;MF/TF;gentry
BEZA3;-23.64;44.59;1e3;0;MF/TF;gentry
ANKARIF;-16.32;46.82;1e3;0;MF/TF;gentry
NOSYMANG;-15.5;49.77;1e3;0;MF/TF;gentry
PERINET;-18.92;48.42;1e3;0;MF/TF;gentry
BRISEFER;-20.38;57.43;1e3;0;MF/TF;gentry
OMOFOR;7;5;1e3;0;MF/TF;gentry
PANDE;-6.67;39.08;1e3;0;MF/TF;gentry
PUGU;-6.83;39.08;1e3;0;MF/TF;gentry
DAVIES;-17.08;145.57;1e3;0;MF/TF;gentry
AVALANCH;11.3;76.58;1e3;0;MF/TF;gentry
MUDUMAL1;11.6;76.53;1e3;0;MF/TF;gentry
MUDUMAL2;11.6;76.53;1e3;0;MF/TF;gentry
NADUGANI;11.45;76.38;1e3;0;MF/TF;gentry
CHIBA;35.15;140.15;1e3;0;MF/TF;gentry
GENTING;3.97;101.63;1e3;0;MF/TF;gentry
PASOH30;3;102.33;1e3;0;MF/TF;gentry
PASOH40;3;102.33;1e3;0;MF/TF;gentry
BAKOSAR;1.75;110.42;1e3;0;MF/TF;gentry
SEMENGOH;1.83;110.08;1e3;0;MF/TF;gentry
NEWCALDO;-22.17;166.83;1e3;0;MF/TF;gentry
BAITETE;-5.17;145.8;1e3;0;MF/TF;gentry
VARIRATA;-9.5;147.5;1e3;0;MF/TF;gentry
PALANAN;17.13;122.52;1e3;0;MF/TF;gentry
KENTING;21.92;120.83;1e3;0;MF/TF;gentry
NANJENSH;22;120.83;1e3;0;MF/TF;gentry
KHAOYAI;14.33;101.83;1e3;0;MF/TF;gentry
SAKAERAT;14.5;102;1e3;0;MF/TF;gentry
SAKAERA2;14.5;102;1e3;0;MF/TF;gentry
1001;54.96667;-131.31667;1250;1;CF;mammals
1002;55.38333;-132.41667;1250;1;CF;mammals
1003;55.7;-132.71667;1250;1;CF;mammals
1004;56.51667;-132.45;1250;1;CF;mammals
1005;57.41667;-133.93333;1250;1;CF;mammals
1006;57.21667;-133.48333;1250;1;CF;mammals
1007;58.03333;-133.95;1250;1;CF;mammals
1013;44.637175;-123.310781;37800;17;MF;mammals
1014;44.637175;-123.310781;37800;17;MF;mammals
1015;44.637175;-123.310781;37800;17;MF;mammals
1016;44.637175;-123.310781;37800;17;MF;mammals
1017;44.637175;-123.310781;18900;41;MF;mammals
1018;44.637175;-123.310781;18900;41;MF;mammals
1019;44.637175;-123.310781;18900;41;MF;mammals
1020;44.637175;-123.310781;18900;41;MF;mammals
1021;34.252058;-112.522733;16260;5;DS;mammals
1022;34.252058;-112.522733;91056;5;D;mammals
1023;34.252058;-112.522733;9756;5;D;mammals
1024;34.252058;-112.522733;26016;5;DG;mammals
1025;34.252058;-112.522733;9756;5;D;mammals
1026;34.252058;-112.522733;16260;5;DS;mammals
1027;34.252058;-112.522733;9756;5;D;mammals
1028;34.252058;-112.522733;13008;5;DS;mammals
1029;39.737758;-107.731454;37156;13;DF;mammals
1030;39.737758;-107.731454;37156;13;MF;mammals
1031;39.737758;-107.731454;37156;13;MF;mammals
1032;39.737758;-107.731454;37156;13;MF;mammals
1033;39.737758;-107.731454;37156;13;CF;mammals
1034;44.837728;-115.787619;22763;48;CF;mammals
1035;44.837728;-115.787619;22763;14;CF;mammals
1036;33.28672;-111.278588;1e3;2;DF;mammals
1037;33.28672;-111.278588;1e3;2;DF;mammals
1038;33.28672;-111.278588;1e3;2;DS;mammals
1039;33.28672;-111.278588;1e3;2;DS;mammals
1040;37.117436;-116.049992;4006;1;DS;mammals
1041;37.117436;-116.049992;4006;1;DS;mammals
1042;37.117436;-116.049992;4006;1;DS;mammals
1043;37.117436;-116.049992;4006;1;DS;mammals
1044;37.117436;-116.049992;4006;1;DS;mammals
1045;37.117436;-116.049992;4006;1;DS;mammals
1046;37.117436;-116.049992;4006;1;DS;mammals
1047;37.117436;-116.049992;4006;1;DS;mammals
1048;37.117436;-116.049992;4006;1;DS;mammals
1049;37.117436;-116.049992;4006;1;DS;mammals
1050;37.117436;-116.049992;4006;1;DS;mammals
1051;37.117436;-116.049992;4006;1;DS;mammals
1052;37.117436;-116.049992;4006;1;DS;mammals
1053;37.117436;-116.049992;4006;1;DS;mammals
1054;37.117436;-116.049992;4006;1;DS;mammals
1055;37.117436;-116.049992;4006;1;DS;mammals
1056;37.117436;-116.049992;4006;1;DS;mammals
1057;37.117436;-116.049992;4006;1;DS;mammals
1058;37.117436;-116.049992;4006;1;DS;mammals
1059;37.117436;-116.049992;4006;1;DS;mammals
1060;37.117436;-116.049992;4006;1;DS;mammals
1061;37.117436;-116.049992;4006;1;DS;mammals
1062;37.117436;-116.049992;4006;1;DS;mammals
1063;37.117436;-116.049992;4006;1;DS;mammals
1064;37.117436;-116.049992;4006;1;DS;mammals
1065;37.117436;-116.049992;4006;1;DS;mammals
1066;37.117436;-116.049992;4006;1;DS;mammals
1067;37.117436;-116.049992;4006;1;DS;mammals
1068;37.117436;-116.049992;4006;1;DS;mammals
1069;37.117436;-116.049992;4006;1;DS;mammals
1070;37.117436;-116.049992;4006;1;DS;mammals
1071;37.117436;-116.049992;4006;1;DS;mammals
1072;37.117436;-116.049992;4006;1;DS;mammals
1073;37.117436;-116.049992;4006;1;DS;mammals
1074;37.117436;-116.049992;4006;1;DS;mammals
1075;37.117436;-116.049992;4006;1;DS;mammals
1076;37.117436;-116.049992;4006;1;DS;mammals
1077;37.117436;-116.049992;4006;1;DS;mammals
1078;37.117436;-116.049992;4006;1;DS;mammals
1079;37.117436;-116.049992;4006;1;DS;mammals
1080;37.117436;-116.049992;4006;1;DS;mammals
1081;37.117436;-116.049992;4006;1;DS;mammals
1082;37.117436;-116.049992;4006;1;DS;mammals
1083;37.117436;-116.049992;4006;1;DS;mammals
1084;37.117436;-116.049992;4006;1;DS;mammals
1085;37.117436;-116.049992;4006;1;DS;mammals
1086;37.117436;-116.049992;4006;1;DS;mammals
1087;37.117436;-116.049992;4006;1;DS;mammals
1088;37.117436;-116.049992;4006;1;DS;mammals
1089;37.117436;-116.049992;4006;1;DS;mammals
1090;37.117436;-116.049992;4006;1;DS;mammals
1091;37.117436;-116.049992;4006;1;DS;mammals
1092;37.117436;-116.049992;4006;1;DS;mammals
1093;37.117436;-116.049992;4006;1;DS;mammals
1094;37.117436;-116.049992;4006;1;DS;mammals
1095;37.117436;-116.049992;4006;1;DS;mammals
1096;37.117436;-116.049992;4006;1;DS;mammals
1097;37.117436;-116.049992;4006;1;DS;mammals
1098;37.117436;-116.049992;4006;1;DS;mammals
1099;37.117436;-116.049992;4006;1;DS;mammals
1100;37.117436;-116.049992;4006;1;DS;mammals
1101;37.117436;-116.049992;4006;1;DS;mammals
1102;37.117436;-116.049992;4006;1;DS;mammals
1103;37.117436;-116.049992;4006;1;DS;mammals
1104;37.117436;-116.049992;4006;1;DS;mammals
1105;37.117436;-116.049992;4006;1;DS;mammals
1106;37.117436;-116.049992;4006;1;DS;mammals
1107;37.117436;-116.049992;4006;1;DS;mammals
1108;37.117436;-116.049992;4006;1;DS;mammals
1109;37.117436;-116.049992;4006;1;DS;mammals
1110;37.117436;-116.049992;4006;1;DS;mammals
1111;37.117436;-116.049992;4006;1;DS;mammals
1112;37.117436;-116.049992;4006;1;DS;mammals
1113;37.117436;-116.049992;4006;1;DS;mammals
1114;37.117436;-116.049992;4006;1;DS;mammals
1115;37.117436;-116.049992;4006;1;DS;mammals
1116;37.117436;-116.049992;4006;1;DS;mammals
1117;37.117436;-116.049992;4006;1;DS;mammals
1118;37.117436;-116.049992;4006;1;DS;mammals
1119;37.117436;-116.049992;4006;1;DS;mammals
1120;37.117436;-116.049992;4006;1;DS;mammals
1121;37.117436;-116.049992;4006;1;DS;mammals
1122;37.117436;-116.049992;4006;1;DS;mammals
1123;37.117436;-116.049992;4006;1;DS;mammals
1124;37.117436;-116.049992;4006;1;DS;mammals
1125;37.117436;-116.049992;4006;1;DS;mammals
1126;37.117436;-116.049992;4006;1;DS;mammals
1127;37.117436;-116.049992;4006;1;DS;mammals
1128;37.117436;-116.049992;4006;1;DS;mammals
1129;37.117436;-116.049992;4006;1;DS;mammals
1130;37.117436;-116.049992;4006;1;DS;mammals
1131;37.117436;-116.049992;4006;1;DS;mammals
1132;37.117436;-116.049992;4006;1;DS;mammals
1133;37.117436;-116.049992;4006;1;DS;mammals
1134;37.117436;-116.049992;4006;1;DS;mammals
1135;37.117436;-116.049992;4006;1;DS;mammals
1136;37.117436;-116.049992;4006;1;DS;mammals
1137;37.117436;-116.049992;4006;1;DS;mammals
1138;37.117436;-116.049992;4006;1;DS;mammals
1139;37.117436;-116.049992;4006;1;DS;mammals
1140;37.117436;-116.049992;4006;1;DS;mammals
1141;37.117436;-116.049992;4006;1;DS;mammals
1142;37.117436;-116.049992;4006;1;DS;mammals
1143;37.117436;-116.049992;4006;1;DS;mammals
1144;37.117436;-116.049992;4006;1;DS;mammals
1145;37.117436;-116.049992;4006;1;DS;mammals
1146;37.117436;-116.049992;4006;1;DS;mammals
1147;37.117436;-116.049992;4006;1;DS;mammals
1148;37.117436;-116.049992;4006;1;DS;mammals
1149;37.117436;-116.049992;4006;1;DS;mammals
1150;37.117436;-116.049992;4006;1;DS;mammals
1151;37.117436;-116.049992;4006;1;DS;mammals
1152;37.117436;-116.049992;4006;1;DS;mammals
1153;37.117436;-116.049992;4006;1;DS;mammals
1154;37.117436;-116.049992;4006;1;DS;mammals
1155;37.117436;-116.049992;63131;17;DS;mammals
1156;37.117436;-116.049992;63131;18;DS;mammals
1157;37.117436;-116.049992;63131;15;DS;mammals
1158;37.117436;-116.049992;63131;29;DS;mammals
1159;37.117436;-116.049992;63131;18;DS;mammals
1160;37.117436;-116.049992;63131;13;DS;mammals
1161;37.117436;-116.049992;63131;15;DS;mammals
1162;37.117436;-116.049992;63131;18;DS;mammals
1163;37.117436;-116.049992;23472;13;CF;mammals
1164;37.117436;-116.049992;23472;13;CF;mammals
1165;39.849242;-105.910086;18578;25;CF;mammals
1166;39.849242;-105.910086;18578;48;CF;mammals
1167;39.067936;-79.676339;18600;1;MF;mammals
1168;39.067936;-79.676339;18600;1;MF;mammals
1169;39.067936;-79.676339;18600;1;MF;mammals
1170;39.067936;-79.676339;18600;3;MF;mammals
1171;32.522925;-92.6443393;42330;30;MF;mammals
1172;32.522925;-92.6443393;42330;17;MF;mammals
1173;31.146958;-92.496286;18817;5;MF;mammals
1174;31.146958;-92.496286;18817;5;MF;mammals
1175;31.902908;-92.242803;32780;8;MF;mammals
1176;31.902908;-92.242803;32780;8;MF;mammals
1177;31.863861;-92.296011;32780;13;MF;mammals
1178;31.863861;-92.296011;32780;13;MF;mammals
1179;31.105303;-92.636614;56501;6;MF;mammals
1180;41.640928;-114968494;11331;1;DF;mammals
1181;41.640928;-114968494;11331;1;DF;mammals
1182;41.721978;-112.882978;2250;1;DS;mammals
1183;43.518161;-112.996803;2250;1;DS;mammals
1184;21.33333;103.58333;1e4;1;TF;mammals
1185;21.33333;103.58333;1e4;1;TF;mammals
1186;21.33333;103.58333;1e4;1;TF;mammals
1187;21.33333;103.58333;1e4;1;TF;mammals
1188;21.33333;103.58333;1e4;1;TF;mammals
1189;21.33333;103.58333;1e4;1;TF;mammals
1190;21.33333;103.58333;1e4;1;TF;mammals
1191;21.33333;103.58333;1e4;1;TF;mammals
1192;21.33333;103.58333;1e4;1;TF;mammals
1193;21.33333;103.58333;1e4;1;TF;mammals
1194;21.33333;103.58333;1e4;1;TF;mammals
1195;21.33333;103.58333;1e4;1;TF;mammals
1196;21.33333;103.58333;1e4;1;TF;mammals
1197;-2.347464;9.615004;6e3;3;TF;mammals
1198;-2.40778;10.338825;4e3;2;TF;mammals
1199;-2.734498;10.082635;3e3;1;TF;mammals
1200;-1.907225;9.853757;6e3;2;TF;mammals
1201;-1.711624;9.811753;5e3;4;TF;mammals
1202;40.066275;-112.55117;40500;14;DS;mammals
1203;40.066275;-112.55117;40500;14;DS;mammals
1204;46.484575;-119.330506;1e4;60;DS;mammals
1205;46.484575;-119.330506;1e4;60;DS;mammals
1213;46.66;-119.519444;3e3;1;DS;mammals
1214;46.66;-119.519444;2e3;1;DS;mammals
1215;46.66;-119.519444;2e3;1;DS;mammals
1216;46.66;-119.519444;3500;1;DS;mammals
1217;46.66;-119.519444;2500;1;DS;mammals
1218;46.66;-119.519444;2e3;1;DS;mammals
1219;46.66;-119.519444;3e3;1;DS;mammals
1220;46.66;-119.519444;500;1;DS;mammals
1221;46.66;-119.519444;1500;1;DS;mammals
1222;46.66;-119.519444;37500;1;DS;mammals
1223;46.66;-119.519444;37500;1;DS;mammals
1224;46.66;-119.519444;14400;1;DS;mammals
1225;46.66;-119.519444;51e3;1;DS;mammals
1226;46.66;-119.519444;51e3;1;DS;mammals
1227;46.66;-119.519444;51e3;1;DS;mammals
1228;46.66;-119.519444;1800;1;DS;mammals
1231;-2.525833;9.9975;100;2;TF;mammals
1232;-2.525833;9.9975;100;2;TF;mammals
1233;-2.525833;9.9975;100;2;TF;mammals
1234;-2.525833;9.9975;100;2;TF;mammals
1235;-2.525833;9.9975;100;2;TF;mammals
1236;-2.525833;9.9975;100;2;TF;mammals
1237;-2.525833;9.9975;100;2;TF;mammals
1238;-2.525833;9.9975;100;2;TF;mammals
1239;-2.525833;9.9975;100;2;TF;mammals
1240;40.086111;-79.979167;9100;16;GL;mammals
1241;40.086111;-79.979167;9100;16;GL;mammals
1246;19.568275;-104.123281;8100;14;CLF;mammals
1247;19.568275;-104.123281;8100;14;CLF;mammals
1248;39.948283000000004;-121.038192;405e3;14;CF;mammals
1249;32.51335;-106.820567;8100;36;DS;mammals
1250;-7.770621;-51.961944;3800;11;TF;mammals
1251;47.114369;-122.564587;12320;2;DF;mammals
1252;2.975016;102.307173;1500;5;TF;mammals
1253;2.975016;102.307173;1500;5;TF;mammals
1254;2.975016;102.307173;1500;5;TF;mammals
1255;2.975016;102.307173;1500;5;TF;mammals
1256;2.975016;102.307173;1500;5;TF;mammals
1257;2.975016;102.307173;1500;5;TF;mammals
1262;33.07647;-105.713081;278400;19;DS;mammals
1263;35.987117;-115.370128;1904.512;33;DS;mammals
1264;32.108567;-110.883767;16e4;24;DS;mammals
1268;49.666667;-119.883333;22085;28;CF;mammals
1269;49.666667;-119.883333;22085;28;CF;mammals
1270;49.666667;-119.883333;22085;28;CF;mammals
1271;46.88655;-122.676756;32e4;2;CF;mammals
1272;46.88655;-122.676756;32e4;2;CF;mammals
1273;41.666667;-104.333333;25819;16;GL;mammals
1274;41.666667;-104.333333;34722;16;GL;mammals
1275;41.666667;-104.333333;17159;16;GL;mammals
1276;41.666667;-104.333333;11169;16;GL;mammals
1277;41.666667;-104.333333;11169;16;GL;mammals
1278;41.666667;-104.333333;15702;16;GL;mammals
1279;41.666667;-104.333333;5585;16;GL;mammals
1280;40.175;-91.8;2340;4;DF;mammals
1281;40.175;-91.8;2860;4;DF;mammals
