site.ID;latitude;longitude;spatial.extent;temporal.extent;habitat;dataset
KITLOPE1;53.07;-127.83;1e3;0;MF/TF;gentry
KITLOPE2;52.21;-127.79;1e3;0;MF/TF;gentry
MTSTHILA;45.62;-73.58;1e3;0;MF/TF;gentry
MATTHIES;25.72;-80.27;1e3;0;MF/TF;gentry
SANFELAS;29.68;-82.43;1e3;0;MF/TF;gentry
UFHORTIC;29.67;-82.33;1e3;0;MF/TF;gentry
CEDARBLU;39.77;-86.15;1e3;0;MF/TF;gentry
NWBRANCH;39.03;-77.03;1e3;0;MF/TF;gentry
BABLERSP;38.53;-90.67;1e3;0;MF/TF;gentry
CUIVRE;39.02;-91;1e3;0;MF/TF;gentry
ROCKCREE;37.5;-90.25;1e3;0;MF/TF;gentry
TYSONGLA;38.5;-90.52;1e3;0;MF/TF;gentry
TYSONWOO;38.5;-90.52;1e3;0;MF/TF;gentry
VALLEYVI;38.25;-90.62;1e3;0;MF/TF;gentry
INDIANCA;40.5;-95.72;1e3;0;MF/TF;gentry
CARY;46.83;-73.75;1e3;0;MF/TF;gentry
MONTGOME;43.17;-77.62;1e3;0;MF/TF;gentry
BANKAMP;40.05;-81.02;1e3;0;MF/TF;gentry
HEUSTOBM;39.55;-84.72;1e3;0;MF/TF;gentry
HEUSTOMF;39.55;-84.72;1e3;0;MF/TF;gentry
TIMBERLI;45.28;-121.75;1e3;0;MF/TF;gentry
JONESMIL;40.08;-79.35;1e3;0;MF/TF;gentry
LAURELRI;39.95;-79.37;1e3;0;MF/TF;gentry
KANEALLE;41.67;-78.8;1e3;0;MF/TF;gentry
TIDROUTE;41.7;-79.4;1e3;0;MF/TF;gentry
WILDBASI;30.33;-97.92;1e3;0;MF/TF;gentry
BURLING;38.95;-77.17;1e3;0;MF/TF;gentry
POTOMAC;38.08;-76.57;1e3;0;MF/TF;gentry
PROVIDEN;13.35;-81.37;1e3;0;MF/TF;gentry
GUANUP;10.53;-85.3;1e3;0;MF/TF;gentry
GUANGF;10.5;-85.17;1e3;0;MF/TF;gentry
LASELVA;10.43;-84.02;1e3;0;MF/TF;gentry
MAGSASAY;10.4;-84.05;1e3;0;MF/TF;gentry
CARARA;9.76;-84.53;1e3;0;MF/TF;gentry
RANCHOQU;8.7;-83.55;1e3;0;MF/TF;gentry
OSASIREN;8.5;-83.92;1e3;0;MF/TF;gentry
SIERRARO;22.83;-83;1e3;0;MF/TF;gentry
LOSHAITI;19.08;-69.5;1e3;0;MF/TF;gentry
ROUNDSLO;17.33;-77.42;1e3;0;MF/TF;gentry
ROUNDTOP;17.33;-77.42;1e3;0;MF/TF;gentry
BENITO;15.33;-92.25;1e3;0;MF/TF;gentry
BOSQUEDE;19.5;-96.95;1e3;0;MF/TF;gentry
CHAMELA1;19.5;-105.05;1e3;0;MF/TF;gentry
CHAMELA2;19.5;-105.05;1e3;0;MF/TF;gentry
CHAMELA3;19.5;-105.05;1e3;0;MF/TF;gentry
CHAMELA4;19.5;-105.05;1e3;0;MF/TF;gentry
TUXTLAS;18.58;-95.13;1e3;0;MF/TF;gentry
LASJOYAS;19.58;-104.13;1e3;0;MF/TF;gentry
QUINCEOC;19.73;-104.25;1e3;0;MF/TF;gentry
MOTOZINT;15.33;-92.2;1e3;0;MF/TF;gentry
CERROOLU;12.3;-85.4;1e3;0;MF/TF;gentry
CERROELP;13;-85.92;1e3;0;MF/TF;gentry
CURUNDU;8.98;-79.55;1e3;0;MF/TF;gentry
MADDEN;9.1;-79.6;1e3;0;MF/TF;gentry
PIPELINE;9.17;-79.75;1e3;0;MF/TF;gentry
LUQUILLO;18.18;-65.83;1e3;0;MF/TF;gentry
MOGOTE;18.42;-66.25;1e3;0;MF/TF;gentry
PARQUEER;-24.58;-64.7;1e3;0;MF/TF;gentry
RIACHUEL;-27;-58;1e3;0;MF/TF;gentry
SALTA;-24.67;-64.5;1e3;0;MF/TF;gentry
CALABATE;-14.92;-68.33;1e3;0;MF/TF;gentry
CHAQUIMA;-14.57;-68.47;1e3;0;MF/TF;gentry
CURUYUQU;-18.76;-62.23;1e3;0;MF/TF;gentry
CURUYUQR;-18.77;-62.3;1e3;0;MF/TF;gentry
ENCANTO;-14.63;-60.7;1e3;0;MF/TF;gentry
INCAHUAR;-15.92;-67.58;1e3;0;MF/TF;gentry
MADIDI;-13.58;-68.77;1e3;0;MF/TF;gentry
MADIDIRI;-13.58;-68.77;1e3;0;MF/TF;gentry
NUEVOMUN;-10.65;-66.77;1e3;0;MF/TF;gentry
PERSEVER;-14.63;-62.62;1e3;0;MF/TF;gentry
QUIAPACA;-18.33;-59.5;1e3;0;MF/TF;gentry
RIONEGRO;-9.83;-65.67;1e3;0;MF/TF;gentry
SACRAM;-16.3;-67.8;1e3;0;MF/TF;gentry
SANTACRU;-17.77;-63.07;1e3;0;MF/TF;gentry
SANTIAGO;-18.33;-59.5;1e3;0;MF/TF;gentry
YANAIGUA;-19.7;-62.1;1e3;0;MF/TF;gentry
ALTERDOC;-2.5;-54.97;1e3;0;MF/TF;gentry
BORACEIA;-23.38;-46;1e3;0;MF/TF;gentry
CAMPINAS;-22.83;-47.13;1e3;0;MF/TF;gentry
CARAJAS;-5.5;-51;1e3;0;MF/TF;gentry
CARLOSBO;-24.25;-46.93;1e3;0;MF/TF;gentry
DUCKE;-3;-59.97;1e3;0;MF/TF;gentry
CAMORIN;-22.93;-43.37;1e3;0;MF/TF;gentry
LINHARES;-19.3;-40.07;1e3;0;MF/TF;gentry
MANAUS;-3.13;-60.02;1e3;0;MF/TF;gentry
BELEM;-1.5;-47.98;1e3;0;MF/TF;gentry
MIRADOR;-40.23;-73.3;1e3;0;MF/TF;gentry
MARTIN;-39.5;-73.17;1e3;0;MF/TF;gentry
PUYEHUE;-40.72;-72.3;1e3;0;MF/TF;gentry
CUEVAS;6.67;-76.5;1e3;0;MF/TF;gentry
ALTOSAPA;7.17;-75.9;1e3;0;MF/TF;gentry
ALTODEMI;10.92;-73.83;1e3;0;MF/TF;gentry
ANCHICAY;3.75;-76.83;1e3;0;MF/TF;gentry
ANTADO;7.25;-75.92;1e3;0;MF/TF;gentry
ARCATING;-0.42;-72.32;1e3;0;MF/TF;gentry
ARARACUA;-0.42;-72.33;1e3;0;MF/TF;gentry
CALIMA;3.92;-77;1e3;0;MF/TF;gentry
CUEVA;11.08;-73.47;1e3;0;MF/TF;gentry
CAMPANO;11.13;-74.02;1e3;0;MF/TF;gentry
SIETECUE;4.58;-73.67;1e3;0;MF/TF;gentry
CARPANTA;4.58;-73.67;1e3;0;MF/TF;gentry
CEDRAL;4.75;-75.55;1e3;0;MF/TF;gentry
KENNEDY;11.08;-74.02;1e3;0;MF/TF;gentry
CERROESP;10.47;-72.83;1e3;0;MF/TF;gentry
COLOSOI;9.5;-75.8;1e3;0;MF/TF;gentry
FARALL;3.5;-76.58;1e3;0;MF/TF;gentry
FINCAM;2.27;-76.2;1e3;0;MF/TF;gentry
FINCAZ;3.53;-76.58;1e3;0;MF/TF;gentry
GALERAZ;10.8;-75.25;1e3;0;MF/TF;gentry
HACHIMAL;3.63;-76.55;1e3;0;MF/TF;gentry
LAPLANAD;1.13;-77.97;1e3;0;MF/TF;gentry
LARAYA;8.33;-74.92;1e3;0;MF/TF;gentry
COLORADO;9.97;-75.17;1e3;0;MF/TF;gentry
MANAURE;10.37;-73.13;1e3;0;MF/TF;gentry
MARIQUIT;5.25;-74.83;1e3;0;MF/TF;gentry
MURRI;6.58;-76.83;1e3;0;MF/TF;gentry
NEUSA;5.17;-74.13;1e3;0;MF/TF;gentry
RIOMANSO;7.5;-76.08;1e3;0;MF/TF;gentry
SABANARU;10.5;-70.92;1e3;0;MF/TF;gentry
SANTOTOM;4.92;-74.83;1e3;0;MF/TF;gentry
TAYRONA;11.33;-74.03;1e3;0;MF/TF;gentry
TUTUNEND;5.77;-76.58;1e3;0;MF/TF;gentry
UCUMARI;4;-75.5;1e3;0;MF/TF;gentry
ACHUPALL;-3.45;-78.37;1e3;0;MF/TF;gentry
BILSA;0.62;-79.87;1e3;0;MF/TF;gentry
CAPEIRA;-2;-79.97;1e3;0;MF/TF;gentry
CENTINEL;-0.58;-79.33;1e3;0;MF/TF;gentry
CUANGOS;-3.48;-78.23;1e3;0;MF/TF;gentry
DURENO;0.25;-76.75;1e3;0;MF/TF;gentry
ELCORAZO;0.58;-77.7;1e3;0;MF/TF;gentry
ESMERALD;0.9;-79.62;1e3;0;MF/TF;gentry
HUAMANI;-0.67;-77.67;1e3;0;MF/TF;gentry
JATUNSAC;-1.07;-77.6;1e3;0;MF/TF;gentry
JAUNECHE;-1.1;-79.63;1e3;0;MF/TF;gentry
MAQUIPUC;0.12;-78.62;1e3;0;MF/TF;gentry
MIAZI;-4.3;-78.67;1e3;0;MF/TF;gentry
PASOCHOA;-0.47;-78.42;1e3;0;MF/TF;gentry
PERROMUE;-1.6;-80.7;1e3;0;MF/TF;gentry
NANGARIT;-4.3;-78.67;1e3;0;MF/TF;gentry
RIOPAL1;-0.56;-79.33;1e3;0;MF/TF;gentry
RIOPAL2;-0.57;-79.33;1e3;0;MF/TF;gentry
SANSEBAS;-1.6;-80.7;1e3;0;MF/TF;gentry
SAUL;3.63;-53.2;1e3;0;MF/TF;gentry
BERBICER;5.5;-58.08;1e3;0;MF/TF;gentry
JEJUIMI;-24.13;-55.53;1e3;0;MF/TF;gentry
ALLPAHUA;-3.95;-73.42;1e3;0;MF/TF;gentry
HUMBOLDT;-8.83;-75;1e3;0;MF/TF;gentry
CABEZADE;-10.33;-75.3;1e3;0;MF/TF;gentry
CERROAYP;-4.58;-79.53;1e3;0;MF/TF;gentry
AMOTAPE;-4.15;-80.62;1e3;0;MF/TF;gentry
CHIRINOS;-5.42;-78.88;1e3;0;MF/TF;gentry
CHORROBL;-6.17;-78.75;1e3;0;MF/TF;gentry
