species.ID;family;genus;species;trophic.guild
1;NA;NA;NA;plants
2;NA;NA;a2;plants
3;acanthaceae;aphelandra;attenuata;plants
4;acanthaceae;aphelandra;deppeana;plants
5;acanthaceae;aphelandra;hieronyma;plants
6;acanthaceae;aphelandra;m1;plants
7;acanthaceae;barleria;m1;plants
8;acanthaceae;bravaisia;integerrina;plants
9;acanthaceae;dicliptera;m1;plants
10;acanthaceae;habracanthus;m1;plants
11;acanthaceae;habracanthus;sanguineus;plants
12;acanthaceae;justicia;aurea;plants
13;acanthaceae;m1;m1;plants
14;acanthaceae;mendoncia;m1;plants
15;acanthaceae;mendoncia;retusa;plants
16;acanthaceae;poikilacanthus;macranthus;plants
17;acanthaceae;ruellia;macrophylla;plants
18;acanthaceae;thomandersia;m1;plants
19;acanthaceae;thommandersia;hensii;plants
20;aceraceae;acer;caesium;plants
21;aceraceae;acer;crataegifolia;plants
22;aceraceae;acer;negundo;plants
23;aceraceae;acer;pensylvanicum;plants
24;aceraceae;acer;platanoides;plants
25;aceraceae;acer;pseudoplatanus;plants
26;aceraceae;acer;rubrum;plants
27;aceraceae;acer;saccarum;plants
28;aceraceae;acer;saccharinum;plants
29;aceraceae;acer;saccharum;plants
30;aceraceae;acer;spicatum;plants
31;achatocarpaceae;achatocarpus;gracilia;plants
32;achatocarpaceae;achatocarpus;gracilis;plants
33;achatocarpus;achatocarpus;gracilis;plants
34;actinidiaceae;saurauia;brachybotrys;plants
35;actinidiaceae;saurauia;bullosa;plants
36;actinidiaceae;saurauia;laevigata;plants
37;actinidiaceae;saurauia;leucocephala;plants
38;actinidiaceae;saurauia;m1;plants
39;actinidiaceae;saurauia;m2;plants
40;actinidiaceae;saurauia;parviflora;plants
41;aextoxicaceae;aextoxicon;punctatum;plants
42;agavaceae;agave;m1;plants
43;agavaceae;dracaena;adamii;plants
44;agavaceae;dracaena;elliptica;plants
45;agavaceae;dracaena;m1;plants
46;agavaceae;dracaena;m2;plants
47;agavaceae;dracaena;m3;plants
48;agavaceae;dracaena;m4;plants
49;alangiaceae;alangium;ebenaceum;plants
50;alangiaceae;alangium;m1;plants
51;alangiaceae;alangium;ridleyi;plants
52;amaranthaceae;chamissoa;acuminata var. maximilianii;plants
53;amaranthaceae;chamissoa;altissima;plants
54;amaranthaceae;chamissoa;m1;plants
55;amaranthaceae;chamissoa/tournefortia;m1;plants
56;amaranthaceae;chamissoa?;m1;plants
57;amaranthaceae;iresine;angustifolia;plants
58;amaranthaceae;iresine;diffusa;plants
59;amaranthaceae;iresine;iterrupta;plants
60;amaranthaceae;iresine;m1;plants
61;amaranthaceae;lagrezia;monosperma;plants
62;amaranthaceae;m1;m1;plants
63;amaranthaceae;pfaffia;paniculata;plants
64;amaranthaceae;pleuropetalum?;m1;plants
65;amaranthaceae/verbenaceae;aegiphila;m1;plants
66;anacar/diaceae;mangifera;beccarii;plants
67;anacardiaceae;anacardium;excelsor;plants
68;anacardiaceae;anacardium;excelsum;plants
69;anacardiaceae;anacardium;m1;plants
70;anacardiaceae;anacardium;occidentalis;plants
71;anacardiaceae;androtium;astylum;plants
72;anacardiaceae;astronium;balansae;plants
73;anacardiaceae;astronium;fraxinifolium;plants
74;anacardiaceae;astronium;gracile;plants
75;anacardiaceae;astronium;graveolens;plants
76;anacardiaceae;astronium;lecontei;plants
77;anacardiaceae;astronium;m1;plants
78;anacardiaceae;astronium;urundeuva;plants
79;anacardiaceae;buchanania;m1;plants
80;anacardiaceae;buchanania;m2;plants
81;anacardiaceae;buchanania;reticulata;plants
82;anacardiaceae;comocladia;engleriana;plants
83;anacardiaceae;comocladia;glabra;plants
84;anacardiaceae;comocladia;velutina;plants
85;anacardiaceae;dracontomelon;brincho;plants
86;anacardiaceae;dracontomelon;brinco;plants
87;anacardiaceae;euroschinus;elegans;plants
88;anacardiaceae;euroschinus;verrucosus;plants
89;anacardiaceae;gluta;beccarii;plants
90;anacardiaceae;gluta;cinnamomea;plants
91;anacardiaceae;gluta;malayana;plants
92;anacardiaceae;holigarna;grahamii;plants
93;anacardiaceae;lannea;m1;plants
94;anacardiaceae;m1;m1;plants
95;anacardiaceae;mangifera;altissima;plants
96;anacardiaceae;mangifera;altissima cf;plants
97;anacardiaceae;mangifera;foetida;plants
98;anacardiaceae;mangifera;indica;plants
99;anacardiaceae;mangifera;m1;plants
100;anacardiaceae;mangifera;magnifica;plants
101;anacardiaceae;mangifera;monandra;plants
102;anacardiaceae;mangifera;quadrifida;plants
103;anacardiaceae;mangifera;superba;plants
104;anacardiaceae;mauria;heterophylla;plants
105;anacardiaceae;mauria;m1;plants
106;anacardiaceae;melanochila;angustifolia;plants
107;anacardiaceae;melanochyla;auriculata;plants
108;anacardiaceae;melanochyla;tomentosa;plants
109;anacardiaceae;melanorrhoea;oba;plants
110;anacardiaceae;melanorrhoea;wallichii;plants
111;anacardiaceae;metopium;brownei;plants
112;anacardiaceae;metopium;brownii;plants
113;anacardiaceae;mosquitoxylon;jamaicense;plants
114;anacardiaceae;myracodruon;urundeuva;plants
115;anacardiaceae;ochoterenaea;m1;plants
116;anacardiaceae;operculicarya;decaryi;plants
117;anacardiaceae;parishia;m1;plants
118;anacardiaceae;parishia;minor;plants
119;anacardiaceae;poupartia;minor;plants
120;anacardiaceae;protorhus;m1;plants
121;anacardiaceae;protorhus;m3;plants
122;anacardiaceae;protorhus;oblongifolia;plants
123;anacardiaceae;pseudospondias;microcarpa;plants
124;anacardiaceae;rhus;copallinum;plants
125;anacardiaceae;rhus;glabra;plants
126;anacardiaceae;rhus;mysorensis;plants
127;anacardiaceae;schinopsis;balansae;plants
128;anacardiaceae;schinopsis;brasiliensis;plants
129;anacardiaceae;schinopsis;glabra;plants
130;anacardiaceae;schinopsis;haenkeana;plants
131;anacardiaceae;schinopsis;peruviana;plants
132;anacardiaceae;schinus;piliferus;plants
133;anacardiaceae;semecarpus;glauca;plants
134;anacardiaceae;semecarpus;longifolius;plants
135;anacardiaceae;semecarpus;m1;plants
136;anacardiaceae;semecarpus;magnifica;plants
137;anacardiaceae;semecarpus;trachyphyllus;plants
138;anacardiaceae;semicarpus;neocaledonica;plants
139;anacardiaceae;sorindeia;juglandifolia;plants
140;anacardiaceae;sorindeia;madagascariensis;plants
141;anacardiaceae;sorindeia;mildbraedii;plants
142;anacardiaceae;sorindeia;nitidula;plants
143;anacardiaceae;sorindeia;zenkeri cf;plants
144;anacardiaceae;spondias;m1;plants
145;anacardiaceae;spondias;mombin;plants
146;anacardiaceae;spondias;purpurea;plants
147;anacardiaceae;spondias;radlkoferi;plants
148;anacardiaceae;spondias;radlkoteri;plants
149;anacardiaceae;swintonia;schwenkei;plants
150;anacardiaceae;swintonia;spicifera;plants
151;anacardiaceae;tapiria;guianensis;plants
