"";"BEMA";"CETE";"CHFU";"HOMA";"LEMA";"MESP";"PAIN";"PLCO";"POMA";"POMO";"PUPA";"SASO";"SCLA";"SOAS";"SPRU"
"BEMA";0;0;0,00199145019942239;0;0;0,000196421346992694;0,000198069165267719;0;0;1,89876914473196e-05;1,93993192663898e-05;1,70833508835414e-06;1,76339039672698e-06;1,88517754095095e-06;1,87385426006883e-07
"CETE";0,0199205000284563;0;0,0019743989162428;0;0,00198490951037536;0,000193460860931556;0,000195059517390896;0,000197391048719441;0;1,88965721265193e-05;1,93603507748926e-05;1,70209492386997e-06;1,76544358018146e-06;1,88980221056716e-06;1,88343480980322e-07
"HOMA";0;0;0;0;0;0;0,000198222141720259;0;0;1,90436518494424e-05;1,9423900621213e-05;1,71238059760904e-06;1,76179405605875e-06;1,88166998460006e-06;1,86630685137837e-07
"LEMA";0;0,00199107220155942;0;0;0;0,000196281041908705;0,000198000602358393;0;0;1,8966313882299e-05;1,93912250330154e-05;1,70828004606764e-06;1,76559423201318e-06;1,8873917714394e-06;1,87765564679427e-07
"PAIN";0,019954809640843;0;0;0;0,0198805110779336;0,000198427875671907;0;0;0;1,90627066943166e-05;1,94790615348539e-05;0;1,77218208494433e-06;1,88858996537022e-06;1,87600910442862e-07
"PLCO";0;0;0;0;0;0;0,000198143308269831;0;0;1,90163375210769e-05;1,94126980707597e-05;1,71150438804985e-06;1,76394345762484e-06;1,8843046680579e-06;1,87129969979815e-07
"POMO";0,0199512608301546;0;0;0;0,000196605710586434;0,000198341951757478;0;0;0;0;1,94054256740126e-05;1,71359158497804e-06;1,7689959852464e-06;1,88849477655239e-06;1,87799318944649e-07
"SASO";0,0199194772496706;0,00197430026173316;0,00198583104689499;0;0,000192677417746356;0,000194348361919976;0,000196949118382286;0;0;1,8664675992533e-05;1,92585978116292e-05;0;1,70343576988562e-06;NA;1,8768085072469e-06
"CHFU";0,0199275580573293;0,00198821181966364;0;0;0;0,000193670540116433;NA;0,000196340826641387;0,0198344924888246;1,82091317210454e-05;1,85250694573337e-05;1,91324080627515e-05;1,60140733086371e-06;1,6925873642423e-06;1,87493627254615e-06
"POMA";0;0,00197719968105126;0,00198766046880363;0;0,000193885885324405;0,000195378292103537;0,000197569151284139;1,90941802761177e-05;0;0,0199348259366532;1,93768939690059e-05;1,70382190174254e-06;1,76343433942511e-06;1,88718576350966e-06;1,87867960219181e-07
"SCLA";0;0;0;0;0;0,000196015150501648;0,000198056377340371;0;0;1,94112725959254e-05;0,0199591038508494;1,71259530136785e-06;1,76592878889673e-06;1,8858549825145e-06;1,87372999294182e-07
"SOAS";0;0,00198892177502291;0;0;0;0,000194306889896011;0,000196941551928858;1,88256995355564e-05;0;1,91713849347125e-05;NA;0;1,61313026556854e-06;1,69806628950288e-06;1,87556649080049e-06
"PUPA";0,0199223374892379;0,00197580786772744;0,00198694541040134;0;0,000193585942604841;0,000195178138151533;0,000197503188673715;1,91204949162807e-05;0;1,94433245021679e-05;0;1,77523460609312e-06;0,0198386515346885;1,89389982074323e-06;1,88674595223939e-07
"SPRU";0;0;0,00198692423146665;0;0,000193566273386967;0,000195154731104577;0,000197469963641465;1,90754804438868e-05;0;1,93802706918353e-05;1,71906914383796e-06;1,78425784586344e-06;1,91062723342319e-06;0,019940208231112;0
"MESP";0;0;0,00199151427540596;0;0;0;0,000198009680809954;0;0;1,94069489359559e-05;1,71358577352462e-06;1,76855836114358e-06;1,8880611631342e-06;1,87724869658261e-07;0,0199489518201701
