"year.predicted";"plot";"type";"intensity";"timestep";"metric";"value"
2016;1;"dd";1;2;"abundance";258436,733879599
2016;1;"dd";1;2;"richness";14
2016;1;"dd";1;2;"evenness";4,09141540674483
2016;1;"dd";1;5;"abundance";1239338647135,43
2016;1;"dd";1;5;"richness";8
2016;1;"dd";1;5;"evenness";2,41194861312739
2016;1;"dd";1;10;"abundance";4,47002050015192e+26
2016;1;"dd";1;10;"richness";8
2016;1;"dd";1;10;"evenness";1,00524787690437
2016;1;"dd";1;15;"abundance";2,72187669667072e+41
2016;1;"dd";1;15;"richness";8
2016;1;"dd";1;15;"evenness";1,0000100221569
2016;1;"dd";1;20;"abundance";1,65842979105515e+56
2016;1;"dd";1;20;"richness";8
2016;1;"dd";1;20;"evenness";1,0000000154422
2016;1;"dd";2;2;"abundance";213476,666062335
2016;1;"dd";2;2;"richness";14
2016;1;"dd";2;2;"evenness";4,23644515405948
2016;1;"dd";2;5;"abundance";235117,926317123
2016;1;"dd";2;5;"richness";7
2016;1;"dd";2;5;"evenness";3,41090572103854
2016;1;"dd";2;10;"abundance";97281,0047977358
2016;1;"dd";2;10;"richness";7
2016;1;"dd";2;10;"evenness";3,87007607827796
2016;1;"dd";2;15;"abundance";98761,3316391445
2016;1;"dd";2;15;"richness";8
2016;1;"dd";2;15;"evenness";4,24059215712076
2016;1;"dd";2;20;"abundance";88963,7594632579
2016;1;"dd";2;20;"richness";8
2016;1;"dd";2;20;"evenness";4,24590249540441
2016;1;"dd";3;2;"abundance";180706,283312685
2016;1;"dd";3;2;"richness";14
2016;1;"dd";3;2;"evenness";4,34176154971521
2016;1;"dd";3;5;"abundance";53096,1691831074
2016;1;"dd";3;5;"richness";7
2016;1;"dd";3;5;"evenness";3,7502579663924
2016;1;"dd";3;10;"abundance";48161,4963431909
2016;1;"dd";3;10;"richness";7
2016;1;"dd";3;10;"evenness";4,22687262024613
2016;1;"dd";3;15;"abundance";45919,8508763243
2016;1;"dd";3;15;"richness";8
2016;1;"dd";3;15;"evenness";4,911360723667
2016;1;"dd";3;20;"abundance";38742,8545421016
2016;1;"dd";3;20;"richness";8
2016;1;"dd";3;20;"evenness";4,79100965824431
2016;1;"dd";4;2;"abundance";155871,001745619
2016;1;"dd";4;2;"richness";14
2016;1;"dd";4;2;"evenness";4,42853553903628
2016;1;"dd";4;5;"abundance";22167,556084473
2016;1;"dd";4;5;"richness";8
2016;1;"dd";4;5;"evenness";4,68109902767486
2016;1;"dd";4;10;"abundance";31471,3603011898
2016;1;"dd";4;10;"richness";8
2016;1;"dd";4;10;"evenness";4,58266717784186
2016;1;"dd";4;15;"abundance";26282,9148987325
2016;1;"dd";4;15;"richness";8
2016;1;"dd";4;15;"evenness";3,50646349403257
2016;1;"dd";4;20;"abundance";24151,9358278673
2016;1;"dd";4;20;"richness";9
2016;1;"dd";4;20;"evenness";5,25816105032497
2016;1;"dd";5;2;"abundance";136450,332330687
2016;1;"dd";5;2;"richness";14
2016;1;"dd";5;2;"evenness";4,51263044526866
2016;1;"dd";5;5;"abundance";25081,608571433
2016;1;"dd";5;5;"richness";9
2016;1;"dd";5;5;"evenness";4,29911140685572
2016;1;"dd";5;10;"abundance";37576,6461116132
2016;1;"dd";5;10;"richness";9
2016;1;"dd";5;10;"evenness";4,68477452301093
2016;1;"dd";5;15;"abundance";26347,4606517705
2016;1;"dd";5;15;"richness";8
2016;1;"dd";5;15;"evenness";4,91461555170227
2016;1;"dd";5;20;"abundance";27623,0548298779
2016;1;"dd";5;20;"richness";9
2016;1;"dd";5;20;"evenness";4,24457339974692
2016;1;"dd";6;2;"abundance";120907,086334547
2016;1;"dd";6;2;"richness";14
2016;1;"dd";6;2;"evenness";4,60585611908312
2016;1;"dd";6;5;"abundance";13777,9731725892
2016;1;"dd";6;5;"richness";10
2016;1;"dd";6;5;"evenness";5,69660810204136
2016;1;"dd";6;10;"abundance";20344,3184719111
2016;1;"dd";6;10;"richness";9
2016;1;"dd";6;10;"evenness";4,89011863589212
2016;1;"dd";6;15;"abundance";18007,7027524116
2016;1;"dd";6;15;"richness";9
2016;1;"dd";6;15;"evenness";5,96742251593574
2016;1;"dd";6;20;"abundance";23246,2500165621
2016;1;"dd";6;20;"richness";8
2016;1;"dd";6;20;"evenness";4,78065658772164
2016;1;"dd";7;2;"abundance";108283,422050106
2016;1;"dd";7;2;"richness";14
2016;1;"dd";7;2;"evenness";4,71808718643003
2016;1;"dd";7;5;"abundance";12320,6754509258
2016;1;"dd";7;5;"richness";10
2016;1;"dd";7;5;"evenness";4,83149540253834
2016;1;"dd";7;10;"abundance";23403,4417106836
2016;1;"dd";7;10;"richness";8
2016;1;"dd";7;10;"evenness";4,8668359605437
2016;1;"dd";7;15;"abundance";12793,6138964088
2016;1;"dd";7;15;"richness";9
2016;1;"dd";7;15;"evenness";4,90941865212136
2016;1;"dd";7;20;"abundance";16365,5304405511
2016;1;"dd";7;20;"richness";9
2016;1;"dd";7;20;"evenness";5,19760511448617
2016;1;"dd";8;2;"abundance";97988,1306939231
2016;1;"dd";8;2;"richness";14
2016;1;"dd";8;2;"evenness";4,8593314473153
2016;1;"dd";8;5;"abundance";12036,8528893972
2016;1;"dd";8;5;"richness";10
2016;1;"dd";8;5;"evenness";4,51166535797513
2016;1;"dd";8;10;"abundance";15423,29172675
2016;1;"dd";8;10;"richness";7
2016;1;"dd";8;10;"evenness";4,42304049428598
2016;1;"dd";8;15;"abundance";12848,1696545544
2016;1;"dd";8;15;"richness";7
2016;1;"dd";8;15;"evenness";5,60278763626796
2016;1;"dd";8;20;"abundance";15852,1412580501
2016;1;"dd";8;20;"richness";7
2016;1;"dd";8;20;"evenness";5,64572797165509
2016;1;"dd";9;2;"abundance";89704,0785473374
2016;1;"dd";9;2;"richness";14
2016;1;"dd";9;2;"evenness";5,04147478927687
2016;1;"dd";9;5;"abundance";11593,8855624751
2016;1;"dd";9;5;"richness";9
2016;1;"dd";9;5;"evenness";4,57363787599118
