"sp";"lambda"
"BEMA";90,2305714271059
"CETE";1000
"HOMA";26,443618793164
"LEMA";352,544002899081
"PAIN";25,1314438163021
"PLCO";52,1329496478703
"POMO";119,97670640452
"SASO";71,2421328234046
"CHFU";254,9064745521
"POMA";124,858428069326
"SCLA";83,2116696672438
"SOAS";243,470798037962
"PUPA";551,578118000773
"SPRU";877,831976461453
"MESP";81,9112292277867
