"year";"plot";"subplot";"sp";"individuals";"SAD.model"
2015;1;"A1";"BEMA";9,89419658305336;"niche_fitness"
2016;1;"A1";"BEMA";30,2762864800194;"niche_fitness"
2017;1;"A1";"BEMA";7,58742374182957;"niche_fitness"
2018;1;"A1";"BEMA";NA;"niche_fitness"
2019;1;"A1";"BEMA";NA;"niche_fitness"
2015;2;"A1";"BEMA";NA;"niche_fitness"
2016;2;"A1";"BEMA";23,7957407393881;"niche_fitness"
2017;2;"A1";"BEMA";NA;"niche_fitness"
2018;2;"A1";"BEMA";NA;"niche_fitness"
2019;2;"A1";"BEMA";NA;"niche_fitness"
2015;3;"A1";"BEMA";NA;"niche_fitness"
2016;3;"A1";"BEMA";NA;"niche_fitness"
2017;3;"A1";"BEMA";NA;"niche_fitness"
2018;3;"A1";"BEMA";NA;"niche_fitness"
2019;3;"A1";"BEMA";NA;"niche_fitness"
2015;4;"A1";"BEMA";NA;"niche_fitness"
2016;4;"A1";"BEMA";24,4531384603754;"niche_fitness"
2017;4;"A1";"BEMA";NA;"niche_fitness"
2018;4;"A1";"BEMA";NA;"niche_fitness"
2019;4;"A1";"BEMA";NA;"niche_fitness"
2015;5;"A1";"BEMA";NA;"niche_fitness"
2016;5;"A1";"BEMA";30,0494046404372;"niche_fitness"
2017;5;"A1";"BEMA";NA;"niche_fitness"
2018;5;"A1";"BEMA";NA;"niche_fitness"
2019;5;"A1";"BEMA";NA;"niche_fitness"
2015;6;"A1";"BEMA";7,35415266444674;"niche_fitness"
2016;6;"A1";"BEMA";37,1983600512024;"niche_fitness"
2017;6;"A1";"BEMA";NA;"niche_fitness"
2018;6;"A1";"BEMA";NA;"niche_fitness"
2019;6;"A1";"BEMA";NA;"niche_fitness"
2015;7;"A1";"BEMA";NA;"niche_fitness"
2016;7;"A1";"BEMA";32,4429009696038;"niche_fitness"
2017;7;"A1";"BEMA";NA;"niche_fitness"
2018;7;"A1";"BEMA";NA;"niche_fitness"
2019;7;"A1";"BEMA";6,51019092557677;"niche_fitness"
2015;8;"A1";"BEMA";NA;"niche_fitness"
2016;8;"A1";"BEMA";20,7922202988809;"niche_fitness"
2017;8;"A1";"BEMA";NA;"niche_fitness"
2018;8;"A1";"BEMA";NA;"niche_fitness"
2019;8;"A1";"BEMA";10,9083025412358;"niche_fitness"
2015;9;"A1";"BEMA";NA;"niche_fitness"
2016;9;"A1";"BEMA";33,7082353774735;"niche_fitness"
2017;9;"A1";"BEMA";NA;"niche_fitness"
2018;9;"A1";"BEMA";NA;"niche_fitness"
2019;9;"A1";"BEMA";NA;"niche_fitness"
2015;1;"A2";"BEMA";5,63804155589931;"niche_fitness"
2016;1;"A2";"BEMA";31,8118000362474;"niche_fitness"
2017;1;"A2";"BEMA";NA;"niche_fitness"
2018;1;"A2";"BEMA";NA;"niche_fitness"
2019;1;"A2";"BEMA";NA;"niche_fitness"
2015;2;"A2";"BEMA";2,44931549853005;"niche_fitness"
2016;2;"A2";"BEMA";11,9924756837658;"niche_fitness"
2017;2;"A2";"BEMA";NA;"niche_fitness"
2018;2;"A2";"BEMA";NA;"niche_fitness"
2019;2;"A2";"BEMA";NA;"niche_fitness"
2015;3;"A2";"BEMA";NA;"niche_fitness"
2016;3;"A2";"BEMA";10,6483863699833;"niche_fitness"
2017;3;"A2";"BEMA";NA;"niche_fitness"
2018;3;"A2";"BEMA";NA;"niche_fitness"
2019;3;"A2";"BEMA";NA;"niche_fitness"
2015;4;"A2";"BEMA";NA;"niche_fitness"
2016;4;"A2";"BEMA";33,2116396060386;"niche_fitness"
2017;4;"A2";"BEMA";NA;"niche_fitness"
2018;4;"A2";"BEMA";NA;"niche_fitness"
2019;4;"A2";"BEMA";NA;"niche_fitness"
2015;5;"A2";"BEMA";NA;"niche_fitness"
2016;5;"A2";"BEMA";49,5687370159765;"niche_fitness"
2017;5;"A2";"BEMA";NA;"niche_fitness"
2018;5;"A2";"BEMA";NA;"niche_fitness"
2019;5;"A2";"BEMA";NA;"niche_fitness"
2015;6;"A2";"BEMA";5,32233984717567;"niche_fitness"
2016;6;"A2";"BEMA";22,5044112690793;"niche_fitness"
2017;6;"A2";"BEMA";NA;"niche_fitness"
2018;6;"A2";"BEMA";NA;"niche_fitness"
2019;6;"A2";"BEMA";NA;"niche_fitness"
2015;7;"A2";"BEMA";NA;"niche_fitness"
2016;7;"A2";"BEMA";36,1787904264672;"niche_fitness"
2017;7;"A2";"BEMA";NA;"niche_fitness"
2018;7;"A2";"BEMA";NA;"niche_fitness"
2019;7;"A2";"BEMA";8,93037998045939;"niche_fitness"
2015;8;"A2";"BEMA";NA;"niche_fitness"
2016;8;"A2";"BEMA";21,1742834772776;"niche_fitness"
2017;8;"A2";"BEMA";NA;"niche_fitness"
2018;8;"A2";"BEMA";NA;"niche_fitness"
2019;8;"A2";"BEMA";6,13303195655568;"niche_fitness"
2015;9;"A2";"BEMA";NA;"niche_fitness"
2016;9;"A2";"BEMA";23,5755405866858;"niche_fitness"
2017;9;"A2";"BEMA";NA;"niche_fitness"
2018;9;"A2";"BEMA";NA;"niche_fitness"
2019;9;"A2";"BEMA";NA;"niche_fitness"
2015;1;"A3";"BEMA";NA;"niche_fitness"
2016;1;"A3";"BEMA";22,5378916469034;"niche_fitness"
2017;1;"A3";"BEMA";NA;"niche_fitness"
2018;1;"A3";"BEMA";NA;"niche_fitness"
2019;1;"A3";"BEMA";NA;"niche_fitness"
2015;2;"A3";"BEMA";8,97505260564421;"niche_fitness"
2016;2;"A3";"BEMA";36,2311639949916;"niche_fitness"
2017;2;"A3";"BEMA";NA;"niche_fitness"
2018;2;"A3";"BEMA";NA;"niche_fitness"
2019;2;"A3";"BEMA";NA;"niche_fitness"
2015;3;"A3";"BEMA";NA;"niche_fitness"
2016;3;"A3";"BEMA";NA;"niche_fitness"
2017;3;"A3";"BEMA";NA;"niche_fitness"
2018;3;"A3";"BEMA";NA;"niche_fitness"
2019;3;"A3";"BEMA";NA;"niche_fitness"
2015;4;"A3";"BEMA";NA;"niche_fitness"
2016;4;"A3";"BEMA";36,5065823348231;"niche_fitness"
2017;4;"A3";"BEMA";NA;"niche_fitness"
2018;4;"A3";"BEMA";NA;"niche_fitness"
2019;4;"A3";"BEMA";11,6797916802083;"niche_fitness"
2015;5;"A3";"BEMA";NA;"niche_fitness"
2016;5;"A3";"BEMA";53,5495650501578;"niche_fitness"
2017;5;"A3";"BEMA";NA;"niche_fitness"
2018;5;"A3";"BEMA";NA;"niche_fitness"
2019;5;"A3";"BEMA";NA;"niche_fitness"
2015;6;"A3";"BEMA";NA;"niche_fitness"
2016;6;"A3";"BEMA";20,6084548811084;"niche_fitness"
2017;6;"A3";"BEMA";NA;"niche_fitness"
2018;6;"A3";"BEMA";NA;"niche_fitness"
2019;6;"A3";"BEMA";NA;"niche_fitness"
2015;7;"A3";"BEMA";NA;"niche_fitness"
2016;7;"A3";"BEMA";13,4468644122441;"niche_fitness"
2017;7;"A3";"BEMA";NA;"niche_fitness"
2018;7;"A3";"BEMA";NA;"niche_fitness"
2019;7;"A3";"BEMA";11,4999812474889;"niche_fitness"
2015;8;"A3";"BEMA";NA;"niche_fitness"
2016;8;"A3";"BEMA";23,7483265456751;"niche_fitness"
2017;8;"A3";"BEMA";NA;"niche_fitness"
2018;8;"A3";"BEMA";NA;"niche_fitness"
2019;8;"A3";"BEMA";3,20619240922725;"niche_fitness"
2015;9;"A3";"BEMA";NA;"niche_fitness"
2016;9;"A3";"BEMA";21,3474537264067;"niche_fitness"
2017;9;"A3";"BEMA";NA;"niche_fitness"
2018;9;"A3";"BEMA";NA;"niche_fitness"
2019;9;"A3";"BEMA";NA;"niche_fitness"
2015;1;"A4";"BEMA";NA;"niche_fitness"
2016;1;"A4";"BEMA";24,7100096786969;"niche_fitness"
2017;1;"A4";"BEMA";NA;"niche_fitness"
2018;1;"A4";"BEMA";NA;"niche_fitness"
2019;1;"A4";"BEMA";NA;"niche_fitness"
2015;2;"A4";"BEMA";NA;"niche_fitness"
2016;2;"A4";"BEMA";24,9113171351177;"niche_fitness"
2017;2;"A4";"BEMA";NA;"niche_fitness"
2018;2;"A4";"BEMA";12,5082487431413;"niche_fitness"
2019;2;"A4";"BEMA";NA;"niche_fitness"
2015;3;"A4";"BEMA";NA;"niche_fitness"
2016;3;"A4";"BEMA";NA;"niche_fitness"
2017;3;"A4";"BEMA";NA;"niche_fitness"
2018;3;"A4";"BEMA";2,88404733669564;"niche_fitness"
2019;3;"A4";"BEMA";NA;"niche_fitness"
2015;4;"A4";"BEMA";NA;"niche_fitness"
2016;4;"A4";"BEMA";29,7381590093101;"niche_fitness"
2017;4;"A4";"BEMA";NA;"niche_fitness"
2018;4;"A4";"BEMA";NA;"niche_fitness"
2019;4;"A4";"BEMA";14,0862711480482;"niche_fitness"
2015;5;"A4";"BEMA";14,018217102124;"niche_fitness"
2016;5;"A4";"BEMA";44,7919546359261;"niche_fitness"
2017;5;"A4";"BEMA";NA;"niche_fitness"
2018;5;"A4";"BEMA";NA;"niche_fitness"
2019;5;"A4";"BEMA";NA;"niche_fitness"
2015;6;"A4";"BEMA";NA;"niche_fitness"
2016;6;"A4";"BEMA";27,824236639665;"niche_fitness"
2017;6;"A4";"BEMA";NA;"niche_fitness"
2018;6;"A4";"BEMA";NA;"niche_fitness"
2019;6;"A4";"BEMA";NA;"niche_fitness"
2015;7;"A4";"BEMA";NA;"niche_fitness"
2016;7;"A4";"BEMA";20,7064977729425;"niche_fitness"
2017;7;"A4";"BEMA";NA;"niche_fitness"
2018;7;"A4";"BEMA";NA;"niche_fitness"
2019;7;"A4";"BEMA";4,59928824362588;"niche_fitness"
2015;8;"A4";"BEMA";NA;"niche_fitness"
2016;8;"A4";"BEMA";22,9010670633276;"niche_fitness"
2017;8;"A4";"BEMA";NA;"niche_fitness"
2018;8;"A4";"BEMA";NA;"niche_fitness"
2019;8;"A4";"BEMA";1,97559261365088;"niche_fitness"
2015;9;"A4";"BEMA";NA;"niche_fitness"
2016;9;"A4";"BEMA";16,9811735715724;"niche_fitness"
2017;9;"A4";"BEMA";NA;"niche_fitness"
2018;9;"A4";"BEMA";NA;"niche_fitness"
2019;9;"A4";"BEMA";NA;"niche_fitness"
2015;1;"A5";"BEMA";NA;"niche_fitness"
2016;1;"A5";"BEMA";51,266453282721;"niche_fitness"
2017;1;"A5";"BEMA";NA;"niche_fitness"
2018;1;"A5";"BEMA";NA;"niche_fitness"
2019;1;"A5";"BEMA";NA;"niche_fitness"
2015;2;"A5";"BEMA";NA;"niche_fitness"
2016;2;"A5";"BEMA";23,2906641201681;"niche_fitness"
2017;2;"A5";"BEMA";NA;"niche_fitness"
2018;2;"A5";"BEMA";NA;"niche_fitness"
2019;2;"A5";"BEMA";NA;"niche_fitness"
2015;3;"A5";"BEMA";NA;"niche_fitness"
2016;3;"A5";"BEMA";NA;"niche_fitness"
2017;3;"A5";"BEMA";NA;"niche_fitness"
2018;3;"A5";"BEMA";NA;"niche_fitness"
2019;3;"A5";"BEMA";NA;"niche_fitness"
2015;4;"A5";"BEMA";NA;"niche_fitness"
2016;4;"A5";"BEMA";29,2997248853418;"niche_fitness"
2017;4;"A5";"BEMA";NA;"niche_fitness"
2018;4;"A5";"BEMA";NA;"niche_fitness"
2019;4;"A5";"BEMA";NA;"niche_fitness"
2015;5;"A5";"BEMA";NA;"niche_fitness"
2016;5;"A5";"BEMA";NA;"niche_fitness"
2017;5;"A5";"BEMA";NA;"niche_fitness"
2018;5;"A5";"BEMA";NA;"niche_fitness"
2019;5;"A5";"BEMA";NA;"niche_fitness"
2015;6;"A5";"BEMA";NA;"niche_fitness"
2016;6;"A5";"BEMA";27,5828577067086;"niche_fitness"
2017;6;"A5";"BEMA";NA;"niche_fitness"
2018;6;"A5";"BEMA";NA;"niche_fitness"
