"";"BEMA";"CETE";"CHFU";"HOMA";"LEMA";"MESP";"PAIN";"PLCO";"POMA";"POMO";"PUPA";"SASO";"SCLA";"SOAS";"SPRU"
"BEMA";0,001;0;1e-04;1e-04;0;1e-04;0;1e-04;0;0;0;0;1e-04;0;0
"CETE";0;1e-05;1e-04;0;1e-04;1e-04;0;1e-04;1e-04;1e-04;0;0;1e-04;1e-04;0
"HOMA";1e-04;0;1e-05;1e-04;1e-04;0;1e-04;0;1e-04;0;0;0;0;0;1e-04
"LEMA";9,99428545363322e-05;0;0;0,000553003751565609;1e-04;4,49104149152563e-05;1e-04;1e-04;1e-04;5,42633708150136e-06;0;0;8,82477757091201e-07;3,68892116357582e-05;2,37533593445768e-05
"PAIN";0;0;0;1e-04;0,001;0;1e-04;0;0;0;1e-04;0;0;1e-04;0
"PLCO";1e-04;0;0;1e-04;1e-04;0,001;0;1e-04;0;0;1e-04;1e-04;0;0;1e-04
"POMO";1e-04;1e-04;1e-04;1e-04;1e-04;0;1e-05;1e-04;1e-04;1e-04;1e-04;1e-04;0;1e-04;1e-04
"SASO";0;1e-04;0;1e-04;0;0;0;0,001;0;0;0;1e-04;0;NA;0
"CHFU";1e-04;0;0;1e-04;1e-04;0;NA;1e-04;0,001;0;0;1e-04;0;1e-04;1e-04
"POMA";1e-04;1e-04;1e-04;1e-04;1e-04;1e-04;1e-04;1e-04;1e-04;0,001;1e-04;0;1e-04;1e-04;1e-04
"SCLA";1e-04;0;0;1e-04;1e-04;0;0;1e-04;0;0;1e-05;1e-04;1e-04;1e-04;1e-04
"SOAS";0;0;1e-04;1e-04;1e-04;0;0;1e-04;0;0;NA;0,001;0;0;0
"PUPA";0;1e-04;1e-04;1e-04;1e-04;1e-04;1e-04;1e-04;1e-04;1e-04;1e-04;0;1e-05;0;0
"SPRU";1e-04;1e-04;1e-04;0;0;1e-04;1e-04;1e-04;1e-04;1e-04;0;1e-04;1e-04;0,001;0
"MESP";0;0;1e-04;1e-04;1e-04;0;0;1e-04;0;0;0;0;1e-04;1e-04;1e-05
