"year";"plot";"subplot";"species";"observed";"predicted"
2016;1;"A1";"BEMA";1;39,4221375869889
2016;2;"A1";"BEMA";2;43,9454208231653
2016;3;"A1";"BEMA";1;NA
2016;4;"A1";"BEMA";6;44,1318950190104
2016;5;"A1";"BEMA";1;43,4775965668215
2016;6;"A1";"BEMA";1;43,49943165392
2016;7;"A1";"BEMA";15;49,7433502450048
2016;8;"A1";"BEMA";9;47,639126111489
2016;9;"A1";"BEMA";3;50,2169580597958
2016;1;"A2";"BEMA";3;39,0347631404025
2016;2;"A2";"BEMA";4;37,1280196337658
2016;3;"A2";"BEMA";2;44,9841303031984
2016;4;"A2";"BEMA";1;45,7305130027779
2016;5;"A2";"BEMA";1;45,6606801082053
2016;6;"A2";"BEMA";3;40,9459003264973
2016;7;"A2";"BEMA";14;47,4004092402655
2016;8;"A2";"BEMA";12;47,4369285532056
2016;9;"A2";"BEMA";7;49,4545103432432
2016;1;"A3";"BEMA";4;43,8092734275901
2016;2;"A3";"BEMA";4;42,1777646313478
2016;3;"A3";"BEMA";4;NA
2016;4;"A3";"BEMA";1;45,71483449552
2016;5;"A3";"BEMA";1;45,5179326556111
2016;6;"A3";"BEMA";1;45,2999156062749
2016;7;"A3";"BEMA";16;46,7958363298652
2016;8;"A3";"BEMA";2;49,4545103432432
2016;9;"A3";"BEMA";6;50,2169580597958
2016;1;"A4";"BEMA";2;42,3643861365709
2016;2;"A4";"BEMA";1;36,8475559919734
2016;3;"A4";"BEMA";2;NA
2016;4;"A4";"BEMA";1;43,9208818310595
2016;5;"A4";"BEMA";1;41,9570570273488
2016;6;"A4";"BEMA";1;45,740110654552
2016;7;"A4";"BEMA";10;46,8246692054835
2016;8;"A4";"BEMA";13;50,2169580597958
2016;9;"A4";"BEMA";10;50,2169580597958
2016;1;"A5";"BEMA";2;46,3029022390386
2016;2;"A5";"BEMA";2;43,1455043157696
2016;3;"A5";"BEMA";4;NA
2016;4;"A5";"BEMA";1;44,7010205792145
2016;5;"A5";"BEMA";0;NA
2016;6;"A5";"BEMA";6;49,7275979480372
2016;7;"A5";"BEMA";16;50,2169580597958
2016;8;"A5";"BEMA";4;47,0543793849355
2016;9;"A5";"BEMA";8;50,2169580597958
2016;1;"A6";"BEMA";1;NA
2016;2;"A6";"BEMA";2;NA
2016;3;"A6";"BEMA";2;NA
2016;4;"A6";"BEMA";6;46,4562092576269
2016;5;"A6";"BEMA";0;NA
2016;6;"A6";"BEMA";3;NA
2016;7;"A6";"BEMA";6;47,1044847933348
2016;8;"A6";"BEMA";12;47,0826660821717
2016;9;"A6";"BEMA";10;50,2169580597958
2016;1;"B1";"BEMA";3;38,1624288259469
2016;2;"B1";"BEMA";4;44,2752111768027
2016;3;"B1";"BEMA";3;NA
2016;4;"B1";"BEMA";1;42,4857884839008
2016;5;"B1";"BEMA";2;45,682029286294
2016;6;"B1";"BEMA";1;41,9664678269573
2016;7;"B1";"BEMA";5;47,2371718341076
2016;8;"B1";"BEMA";5;48,2762002777051
2016;9;"B1";"BEMA";11;50,2169580597958
2016;1;"B2";"BEMA";1;45,3258405376016
2016;2;"B2";"BEMA";4;NA
2016;3;"B2";"BEMA";2;44,7735851722243
2016;4;"B2";"BEMA";1;47,2360507710589
2016;5;"B2";"BEMA";0;NA
2016;6;"B2";"BEMA";2;38,4121554531281
2016;7;"B2";"BEMA";7;47,4004092402655
2016;8;"B2";"BEMA";2;48,489448615434
2016;9;"B2";"BEMA";6;47,3572260425047
2016;1;"B3";"BEMA";2;NA
2016;2;"B3";"BEMA";1;38,3926813866664
2016;3;"B3";"BEMA";3;47,4182516610873
2016;4;"B3";"BEMA";1;45,3000047690251
2016;5;"B3";"BEMA";1;39,201078589894
2016;6;"B3";"BEMA";3;43,1011928949394
2016;7;"B3";"BEMA";6;47,9654345052239
2016;8;"B3";"BEMA";5;49,7433502450048
2016;9;"B3";"BEMA";16;50,2169580597958
2016;1;"B4";"BEMA";1;45,7585941635042
2016;2;"B4";"BEMA";1;44,453981101316
2016;3;"B4";"BEMA";4;47,2517877632066
2016;4;"B4";"BEMA";2;40,0539452284932
2016;5;"B4";"BEMA";1;44,9715174410371
2016;6;"B4";"BEMA";2;45,0910824338278
2016;7;"B4";"BEMA";5;47,2413807830705
2016;8;"B4";"BEMA";9;47,0679175005828
2016;9;"B4";"BEMA";5;48,5053981052187
2016;1;"B5";"BEMA";2;44,9953730429362
2016;2;"B5";"BEMA";1;39,6543944755578
2016;3;"B5";"BEMA";3;NA
2016;4;"B5";"BEMA";4;39,5961720018216
2016;5;"B5";"BEMA";1;NA
2016;6;"B5";"BEMA";2;45,8935867365647
2016;7;"B5";"BEMA";8;47,6049577081035
2016;8;"B5";"BEMA";7;48,5053981052187
2016;9;"B5";"BEMA";15;49,7317000050732
2016;1;"B6";"BEMA";2;43,5055581805814
2016;2;"B6";"BEMA";3;NA
2016;3;"B6";"BEMA";4;NA
2016;4;"B6";"BEMA";7;38,7133482742049
2016;5;"B6";"BEMA";0;NA
2016;6;"B6";"BEMA";4;47,9127368255949
2016;7;"B6";"BEMA";10;48,5217024982266
2016;8;"B6";"BEMA";3;49,0838932362723
2016;9;"B6";"BEMA";20;50,2169580597958
2016;1;"C1";"BEMA";1;41,1820992588817
2016;2;"C1";"BEMA";2;40,4150146484047
2016;3;"C1";"BEMA";3;NA
2016;4;"C1";"BEMA";2;NA
2016;5;"C1";"BEMA";1;41,0713373789568
2016;6;"C1";"BEMA";2;45,3950744855257
2016;7;"C1";"BEMA";7;47,2564514051458
2016;8;"C1";"BEMA";2;48,1657754365727
2016;9;"C1";"BEMA";8;49,4545103432432
2016;1;"C2";"BEMA";4;42,5383431756948
2016;2;"C2";"BEMA";3;38,6356293898347
2016;3;"C2";"BEMA";5;46,1934376986783
2016;4;"C2";"BEMA";3;42,4844422983832
