"year";"plot";"subplot";"species";"observed";"predicted"
2016;1;"A1";"BEMA";1;6,29971416834616
2016;2;"A1";"BEMA";2;6,61053614854381
2016;3;"A1";"BEMA";1;NA
2016;4;"A1";"BEMA";6;2,24212886267545
2016;5;"A1";"BEMA";1;2,32998792735149
2016;6;"A1";"BEMA";1;4,09569171227175
2016;7;"A1";"BEMA";15;50,01210533374
2016;8;"A1";"BEMA";9;50,01210533374
2016;9;"A1";"BEMA";3;50,01210533374
2016;1;"A2";"BEMA";3;10,7794067869114
2016;2;"A2";"BEMA";4;3,81780580149745
2016;3;"A2";"BEMA";2;21,6227251728345
2016;4;"A2";"BEMA";1;13,1446239997256
2016;5;"A2";"BEMA";1;9,29567139522214
2016;6;"A2";"BEMA";3;5,52153013770111
2016;7;"A2";"BEMA";14;50,01210533374
2016;8;"A2";"BEMA";12;50,01210533374
2016;9;"A2";"BEMA";7;50,01210533374
2016;1;"A3";"BEMA";4;5,42257028051904
2016;2;"A3";"BEMA";4;11,8332478164376
2016;3;"A3";"BEMA";4;NA
2016;4;"A3";"BEMA";1;4,145895410963
2016;5;"A3";"BEMA";1;10,6359834735914
2016;6;"A3";"BEMA";1;1,64253083874832
2016;7;"A3";"BEMA";16;50,01210533374
2016;8;"A3";"BEMA";2;50,01210533374
2016;9;"A3";"BEMA";6;50,01210533374
2016;1;"A4";"BEMA";2;10,5049050351855
2016;2;"A4";"BEMA";1;4,17588454508915
2016;3;"A4";"BEMA";2;NA
2016;4;"A4";"BEMA";1;3,99114853826086
2016;5;"A4";"BEMA";1;8,13221977032706
2016;6;"A4";"BEMA";1;4,17868058904125
2016;7;"A4";"BEMA";10;50,01210533374
2016;8;"A4";"BEMA";13;50,01210533374
2016;9;"A4";"BEMA";10;50,01210533374
2016;1;"A5";"BEMA";2;15,2295596957704
2016;2;"A5";"BEMA";2;3,9502133178638
2016;3;"A5";"BEMA";4;NA
2016;4;"A5";"BEMA";1;2,39933967284539
2016;5;"A5";"BEMA";0;NA
2016;6;"A5";"BEMA";6;50,01210533374
2016;7;"A5";"BEMA";16;50,01210533374
2016;8;"A5";"BEMA";4;50,01210533374
2016;9;"A5";"BEMA";8;50,01210533374
2016;1;"A6";"BEMA";1;NA
2016;2;"A6";"BEMA";2;NA
2016;3;"A6";"BEMA";2;NA
2016;4;"A6";"BEMA";6;4,87889150164741
2016;5;"A6";"BEMA";0;NA
2016;6;"A6";"BEMA";3;NA
2016;7;"A6";"BEMA";6;50,01210533374
2016;8;"A6";"BEMA";12;50,01210533374
2016;9;"A6";"BEMA";10;50,01210533374
2016;1;"B1";"BEMA";3;13,713709056796
2016;2;"B1";"BEMA";4;6,62817637952472
2016;3;"B1";"BEMA";3;NA
2016;4;"B1";"BEMA";1;2,06512362946174
2016;5;"B1";"BEMA";2;12,0145927651731
2016;6;"B1";"BEMA";1;2,27053367628523
2016;7;"B1";"BEMA";5;50,01210533374
2016;8;"B1";"BEMA";5;50,01210533374
2016;9;"B1";"BEMA";11;50,01210533374
2016;1;"B2";"BEMA";1;11,8278889227846
2016;2;"B2";"BEMA";4;NA
2016;3;"B2";"BEMA";2;21,1836268798734
2016;4;"B2";"BEMA";1;7,20812507796508
2016;5;"B2";"BEMA";0;NA
2016;6;"B2";"BEMA";2;7,75929546617792
2016;7;"B2";"BEMA";7;50,01210533374
2016;8;"B2";"BEMA";2;50,01210533374
2016;9;"B2";"BEMA";6;50,01210533374
2016;1;"B3";"BEMA";2;NA
2016;2;"B3";"BEMA";1;2,59295002631796
2016;3;"B3";"BEMA";3;32,516887732211
2016;4;"B3";"BEMA";1;4,67055221616864
2016;5;"B3";"BEMA";1;3,62829362753223
2016;6;"B3";"BEMA";3;0,864250077144475
2016;7;"B3";"BEMA";6;50,01210533374
2016;8;"B3";"BEMA";5;50,01210533374
2016;9;"B3";"BEMA";16;50,01210533374
2016;1;"B4";"BEMA";1;13,7218589826238
2016;2;"B4";"BEMA";1;10,7661840073979
2016;3;"B4";"BEMA";4;29,5159862749442
2016;4;"B4";"BEMA";2;4,5542544578802
2016;5;"B4";"BEMA";1;9,61548274958555
2016;6;"B4";"BEMA";2;2,40061094207246
2016;7;"B4";"BEMA";5;50,01210533374
2016;8;"B4";"BEMA";9;50,01210533374
2016;9;"B4";"BEMA";5;50,01210533374
2016;1;"B5";"BEMA";2;10,1818038312476
2016;2;"B5";"BEMA";1;2,48133536961312
2016;3;"B5";"BEMA";3;NA
2016;4;"B5";"BEMA";4;5,91121715292908
2016;5;"B5";"BEMA";1;NA
2016;6;"B5";"BEMA";2;7,44759966001682
2016;7;"B5";"BEMA";8;50,01210533374
2016;8;"B5";"BEMA";7;50,01210533374
2016;9;"B5";"BEMA";15;36,2893525140927
2016;1;"B6";"BEMA";2;5,65614500160442
2016;2;"B6";"BEMA";3;NA
2016;3;"B6";"BEMA";4;NA
2016;4;"B6";"BEMA";7;4,33514749541021
2016;5;"B6";"BEMA";0;NA
2016;6;"B6";"BEMA";4;10,1969060426431
2016;7;"B6";"BEMA";10;50,01210533374
2016;8;"B6";"BEMA";3;50,01210533374
2016;9;"B6";"BEMA";20;50,01210533374
2016;1;"C1";"BEMA";1;6,47322128169232
2016;2;"C1";"BEMA";2;12,3610889227846
2016;3;"C1";"BEMA";3;NA
2016;4;"C1";"BEMA";2;NA
2016;5;"C1";"BEMA";1;12,7457480340784
2016;6;"C1";"BEMA";2;6,38581491759578
2016;7;"C1";"BEMA";7;50,01210533374
2016;8;"C1";"BEMA";2;50,01210533374
2016;9;"C1";"BEMA";8;50,01210533374
2016;1;"C2";"BEMA";4;11,4409000548298
2016;2;"C2";"BEMA";3;4,22676115399023
2016;3;"C2";"BEMA";5;25,2186030783626
2016;4;"C2";"BEMA";3;4,67012649829073
