"";"BEMA";"CETE";"CHFU";"HOMA";"LEMA";"MESP";"PAIN";"PLCO";"POMA";"POMO";"PUPA";"SASO";"SCLA";"SOAS";"SPRU"
"BEMA";0,5;0;0,216966282184371;0,012095329025328;0;0;0;0,0328775241870458;0;0;0;0;0;0;0
"CETE";0;0,5;0,5;0;0;0,00509043643374771;0;0;0;0;0;0;0;0,5;0
"HOMA";0,090789321816557;0;0,5;0,0479408492029149;0;0;0;0;0;0;0;0;0;0,0196571174424719;0,301947689770777
"LEMA";0,167537919104098;0;0;0,5;0,118011372557243;0;0;0,103579315182973;0,0724904580794844;0;0;0;0;0,39908101253367;0,184719694992876
"PAIN";0,5;0,0258997288871033;0;0,5;0,5;0;0,5;0;0,0083441343091972;0,260971779425939;0,5;0;0;0,5;0,5
"PLCO";0,14997889050819;0;0;0,125124040951597;0,0116471664498042;0,5;0;0,0541109434472294;0;0;0,472658727458976;0,0350862161885229;0;0;0,420340696498705
"POMO";0,5;0;0,0897994232302669;0,0725165597618507;0,118093836347487;0;0,5;0;0,0163152637746479;0,0556325967036238;0;0,0166393269254795;0;0;0,5
"SASO";0;0,312979958276736;0;0,0212015973687068;0;0;0;0,5;0;0;0;0,367407897942284;0;NA;0
"CHFU";0;0;0;0,00521061883030728;0;0;NA;0;0,5;0;0;0;0;0,0744808972054546;0
"POMA";0,194537489624787;0;0;0,0233892596068806;0,0617996409100738;0,0731375099828793;0;0;0,00791722365411699;0,5;0;0;0;0,121794735457001;0,0516753075058395
"SCLA";0,5;0;0,0535274987650289;0,0983281152121868;0,323644791261903;0,110484475932586;0;0,0703158285046993;0;0;0,5;0,0791114392218379;0,105658414822795;0,5;0,5
"SOAS";0;0;0,0866985995324531;0,11187202243223;0,0591242637823288;0,00307050334137491;0,0437399527293411;0,121414799161467;0;0;NA;0,5;0;0;0,104938055946966
"PUPA";0;0;0,202785604051108;0;0;0,049651592231815;0;0,0312760622747659;0;0;0;0;0,5;0;0
"SPRU";0;0;0;0;0;0;0,162426919633906;0;0;0,5;0;0;0;0,888649270854503;0
"MESP";0;0;0,5;0,00394645773868844;0,210157188707634;0;0;0,0597982876703139;0;0;0;0;0,5;0,253244807593193;0,5
