"year";"plot";"subplot";"focal";"fruit";"seed";"BEMA";"CETE";"CHFU";"HOMA";"LEMA";"MESP";"PAIN";"PLCO";"POMA";"POMO";"PUPA";"SASO";"SCLA";"SOAS";"SPRU"
2015;1;"A1";"BEMA";5;20;0;0;0;1;0;0;0;2;2;0;0;0;0;0;0
2015;1;"A1";"CETE";1;146;0;0;0;3;1;9;2;2;11;0;0;0;0;0;0
2015;1;"A1";"HOMA";7;105;1;0;0;3;0;0;0;2;0;0;0;1;0;0;0
2015;1;"A1";"LEMA";8;440;0;1;0;2;0;0;0;2;0;0;0;0;0;0;0
2015;1;"A1";"PAIN";18;414;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0
2015;1;"A1";"PLCO";2;68;0;1;0;2;0;0;0;4;2;0;0;0;0;0;0
2015;1;"A1";"POMO";1;77;0;0;0;2;0;0;0;3;0;0;0;0;0;0;0
2015;1;"A1";"SASO";16;32;0;0;0;2;1;0;1;1;0;0;0;0;0;0;0
2015;1;"A2";"BEMA";30;120;0;2;0;3;0;0;1;3;0;0;0;0;0;0;0
2015;1;"A2";"CETE";3;438;0;0;0;0;0;0;1;0;1;0;0;4;0;0;0
2015;1;"A2";"CHFU";5;315;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0
2015;1;"A2";"HOMA";10;150;0;0;0;2;0;0;0;1;0;0;0;3;0;0;0
2015;1;"A2";"LEMA";5;275;0;6;0;0;0;0;0;4;0;0;0;0;0;0;0
2015;1;"A2";"PAIN";8;184;1;0;0;1;2;0;0;1;0;0;0;0;0;0;0
2015;1;"A2";"PLCO";5;170;0;6;0;2;0;0;0;0;0;0;0;0;0;0;0
2015;1;"A2";"POMA";1;140;0;0;0;0;0;0;1;0;1;0;0;4;0;0;0
2015;1;"A2";"SASO";16;32;0;2;0;0;1;0;1;2;0;0;0;3;0;0;0
2015;1;"A2";"SCLA";1;38;0;0;0;2;0;0;0;1;0;0;0;3;0;0;0
2015;1;"A2";"SOAS";3;87;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0
2015;1;"A2";"SOAS";6;174;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
2015;1;"A3";"CETE";4;584;0;0;0;2;0;0;1;0;0;0;0;1;0;0;0
2015;1;"A3";"CHFU";16;1008;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0
2015;1;"A3";"HOMA";11;165;0;1;2;0;0;1;2;0;0;0;0;3;0;0;0
2015;1;"A3";"LEMA";14;770;0;3;0;2;0;0;0;1;0;0;0;0;0;0;0
2015;1;"A3";"PAIN";6;138;0;0;1;1;0;0;0;3;0;0;0;0;0;0;0
2015;1;"A3";"PLCO";8;272;0;1;0;2;1;0;0;0;1;0;0;6;0;0;0
2015;1;"A3";"PUPA";2;136;0;0;2;0;0;0;0;3;0;0;0;1;0;0;0
2015;1;"A3";"SASO";30;60;0;1;1;3;0;0;1;0;0;0;0;0;0;0;0
2015;1;"A3";"SCLA";1;38;0;0;0;1;1;0;0;2;0;0;0;0;0;0;0
2015;1;"A3";"SOAS";4;116;0;0;1;2;2;0;0;1;0;0;0;0;0;0;0
2015;1;"A4";"CETE";1;146;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0
2015;1;"A4";"CHFU";1;63;0;0;0;3;0;0;0;2;0;0;0;0;0;0;0
2015;1;"A4";"HOMA";3;45;0;0;0;0;1;0;0;5;0;0;0;3;0;0;0
2015;1;"A4";"LEMA";17;935;0;0;0;0;1;0;2;3;0;0;0;0;0;0;0
2015;1;"A4";"PAIN";1;23;0;0;0;3;0;0;0;0;0;0;0;0;1;0;0
2015;1;"A4";"PLCO";1;34;0;1;0;1;2;0;0;3;0;0;0;0;0;0;0
2015;1;"A4";"POMA";1;140;0;0;0;1;0;0;0;2;2;0;0;26;0;0;0
2015;1;"A4";"POMO";2;154;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
2015;1;"A4";"SASO";48;96;0;0;0;1;0;0;0;0;1;1;0;2;0;0;0
2015;1;"A4";"SCLA";2;76;0;0;0;4;0;0;0;0;0;0;0;0;1;0;0
2015;1;"A4";"SOAS";3;87;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0
2015;1;"A5";"CETE";4;584;0;0;2;2;1;0;0;0;1;0;0;0;0;0;0
2015;1;"A5";"CHFU";21;1323;0;0;1;2;0;0;0;2;0;0;0;0;0;0;0
2015;1;"A5";"HOMA";9;135;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0
2015;1;"A5";"LEMA";7;385;0;2;3;2;0;0;3;2;0;0;0;0;0;0;0
2015;1;"A5";"PAIN";1;23;0;0;3;1;0;0;0;2;0;2;0;0;0;0;0
2015;1;"A5";"PLCO";1;34;0;1;1;0;1;0;3;0;2;0;0;0;0;0;0
2015;1;"A5";"POMA";1;140;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0
2015;1;"A5";"POMO";1;77;0;0;1;1;0;0;0;0;0;2;0;0;0;0;0
2015;1;"A5";"SASO";62;124;0;0;1;2;1;0;0;1;1;0;0;0;0;0;0
2015;1;"A6";"CETE";1;146;0;7;0;3;0;0;0;2;2;0;0;0;0;0;0
2015;1;"A6";"CHFU";6;378;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
2015;1;"A6";"HOMA";10;150;0;2;0;1;0;0;0;3;1;0;0;0;0;0;0
2015;1;"A6";"LEMA";10;550;0;0;1;2;0;0;3;2;0;0;0;2;0;0;0
2015;1;"A6";"PAIN";1;23;0;0;0;1;0;0;1;0;2;1;0;1;0;0;0
2015;1;"A6";"PLCO";1;34;0;0;2;2;0;0;0;2;1;0;0;0;0;0;0
2015;1;"A6";"POMA";1;140;0;1;0;1;1;0;1;3;0;0;0;1;0;0;0
2015;1;"A6";"SASO";42;84;0;0;0;2;0;0;0;1;0;0;0;1;0;0;0
2015;1;"B1";"BEMA";1;4;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0
2015;1;"B1";"CHFU";6;378;0;0;1;2;2;0;0;1;0;0;0;0;0;0;0
2015;1;"B1";"HOMA";6;90;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0
2015;1;"B1";"LEMA";5;275;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0
2015;1;"B1";"PAIN";2;46;0;0;3;1;1;0;0;1;0;0;0;0;0;0;0
2015;1;"B1";"PLCO";3;102;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0
2015;1;"B1";"PUPA";8;544;0;0;0;3;0;0;1;1;0;0;0;0;0;0;0
2015;1;"B1";"SASO";50;100;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0
2015;1;"B1";"SCLA";2;76;0;0;0;2;1;0;1;0;0;0;0;0;0;0;0
2015;1;"B1";"SOAS";2;58;0;1;3;2;2;0;0;1;0;0;0;0;0;0;0
2015;1;"B1";"SOAS";3;87;0;0;5;1;3;0;0;0;0;0;0;0;0;0;0
2015;1;"B1";"SPRU";7;329;0;0;1;3;0;0;0;1;0;0;0;0;0;0;0
2015;1;"B2";"CETE";1;146;0;0;0;2;1;0;0;0;0;0;0;3;0;0;0
2015;1;"B2";"CHFU";14;882;0;0;1;3;2;0;0;0;0;0;0;0;0;0;0
2015;1;"B2";"HOMA";7;105;0;0;1;1;1;0;0;0;0;0;0;2;0;0;0
2015;1;"B2";"LEMA";3;165;0;1;0;1;0;0;0;2;0;0;0;0;0;0;0
2015;1;"B2";"PAIN";5;115;0;0;0;1;0;0;0;0;1;2;0;2;0;0;0
2015;1;"B2";"PLCO";7;238;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0
2015;1;"B2";"PUPA";2;136;0;0;1;2;0;0;0;1;0;0;0;1;0;0;0
2015;1;"B2";"SASO";26;52;0;0;0;3;0;0;0;0;0;1;0;1;0;0;0
2015;1;"B2";"SCLA";1;38;0;0;0;2;1;0;1;1;0;0;0;0;0;0;0
2015;1;"B2";"SCLA";3;114;0;0;0;3;0;0;1;0;0;0;0;1;0;0;0
2015;1;"B2";"SOAS";4;116;0;0;1;2;1;0;0;0;0;0;0;0;0;0;0
2015;1;"B3";"CETE";3;438;0;2;0;0;0;0;0;1;0;0;0;1;0;0;0
2015;1;"B3";"CHFU";9;567;0;0;1;3;2;0;0;1;0;0;0;0;0;0;0
2015;1;"B3";"HOMA";3;45;0;0;0;1;1;0;0;1;0;0;0;4;0;0;0
2015;1;"B3";"LEMA";3;165;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0
2015;1;"B3";"PAIN";3;69;0;0;1;0;0;0;1;0;0;0;0;12;0;0;0
2015;1;"B3";"PLCO";4;136;0;0;0;2;1;0;1;0;0;0;0;0;0;0;0
2015;1;"B3";"PUPA";1;68;0;0;0;1;1;0;0;2;2;2;0;11;0;0;0
2015;1;"B3";"PUPA";5;340;0;0;2;1;0;0;1;0;0;0;0;8;0;0;0
