"year";"plot";"subplot";"focal";"fruit";"seed";"BEMA";"CETE";"CHFU";"HOMA";"LEMA";"MESP";"PAIN";"PLCO";"POMA";"POMO";"PUPA";"SASO";"SCLA";"SOAS";"SPRU"
2015;1;"B3";"SASO";32;64;0;0;0;2;0;0;1;1;0;0;0;1;0;0;0
2015;1;"B3";"SCLA";1;38;0;0;0;1;1;0;0;2;0;0;0;0;0;0;0
2015;1;"B3";"SOAS";3;87;0;0;1;2;1;0;0;7;0;0;0;0;0;0;0
2015;1;"B3";"SOAS";5;145;0;0;1;2;0;0;0;4;0;0;0;0;0;0;0
2015;1;"B4";"CETE";4;584;0;0;0;2;0;0;1;2;0;0;0;0;0;0;0
2015;1;"B4";"CHFU";10;630;0;0;0;2;0;0;0;3;0;0;0;0;0;0;0
2015;1;"B4";"HOMA";5;75;0;0;0;0;1;0;0;6;1;0;0;0;0;0;0
2015;1;"B4";"LEMA";3;165;0;0;0;2;0;0;0;3;0;0;0;0;0;0;0
2015;1;"B4";"PAIN";3;69;0;0;1;2;0;0;0;1;1;0;0;0;0;0;0
2015;1;"B4";"PLCO";4;136;0;0;0;1;1;0;0;2;0;0;0;0;0;0;0
2015;1;"B4";"POMA";1;140;0;0;0;0;1;0;1;5;0;0;0;0;1;0;0
2015;1;"B4";"PUPA";6;408;0;0;0;1;0;0;0;3;0;0;0;0;0;0;0
2015;1;"B4";"SASO";26;52;0;0;0;2;1;0;1;1;0;0;0;0;0;0;0
2015;1;"B4";"SCLA";2;76;0;0;0;2;1;0;1;3;1;0;0;0;0;0;0
2015;1;"B5";"CETE";2;292;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0
2015;1;"B5";"CHFU";22;1386;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0
2015;1;"B5";"HOMA";14;210;0;0;1;1;2;0;0;2;0;0;0;1;0;0;0
2015;1;"B5";"LEMA";8;440;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
2015;1;"B5";"PAIN";1;23;0;0;0;2;1;0;0;1;0;0;0;0;0;0;0
2015;1;"B5";"PLCO";5;170;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
2015;1;"B5";"POMA";1;140;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0
2015;1;"B5";"SASO";20;40;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0
2015;1;"B5";"SCLA";2;76;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0
2015;1;"B5";"SOAS";3;87;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0
2015;1;"B6";"CETE";1;146;0;7;1;1;0;0;0;0;1;0;0;1;0;0;0
2015;1;"B6";"CHFU";3;189;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
2015;1;"B6";"HOMA";13;195;0;8;2;1;0;0;0;0;1;0;0;1;0;0;0
2015;1;"B6";"LEMA";8;440;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0
2015;1;"B6";"PAIN";2;46;0;4;0;0;1;0;0;0;2;0;0;0;0;0;0
2015;1;"B6";"PLCO";2;68;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
2015;1;"B6";"POMA";2;280;0;8;1;1;0;0;0;0;0;0;0;1;0;0;0
2015;1;"B6";"SASO";63;126;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0
2015;1;"B6";"SCLA";2;76;0;0;0;2;0;0;1;1;0;0;0;0;0;0;0
2015;1;"B6";"SOAS";3;87;0;0;1;2;1;0;0;3;0;0;0;0;0;0;0
2015;1;"B6";"SOAS";4;116;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0
2015;1;"C1";"BEMA";30;120;0;0;0;1;1;0;2;0;0;0;0;0;0;0;0
2015;1;"C1";"CETE";1;146;0;0;0;2;1;0;1;2;0;0;0;0;0;0;0
2015;1;"C1";"CHFU";3;189;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
2015;1;"C1";"HOMA";5;75;0;0;2;0;2;0;1;0;1;0;0;0;0;0;0
2015;1;"C1";"LEMA";14;770;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
2015;1;"C1";"PAIN";2;46;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0
2015;1;"C1";"PLCO";20;680;0;0;0;2;1;0;1;0;0;0;0;0;0;0;0
2015;1;"C1";"POMA";1;140;0;0;1;0;1;0;0;1;1;0;0;0;0;0;0
2015;1;"C1";"PUPA";5;340;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
2015;1;"C1";"SASO";42;84;0;0;0;4;1;0;1;0;0;0;0;0;0;0;0
2015;1;"C2";"BEMA";7;28;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0
2015;1;"C2";"CETE";1;146;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0
2015;1;"C2";"CHFU";25;1575;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0
2015;1;"C2";"HOMA";22;330;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0
2015;1;"C2";"LEMA";7;385;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
2015;1;"C2";"PAIN";5;115;0;0;1;1;0;0;2;0;0;0;0;0;0;0;0
2015;1;"C2";"PLCO";8;272;0;0;0;0;1;0;2;1;0;0;0;0;0;0;0
2015;1;"C2";"POMA";2;280;0;0;1;0;0;0;1;2;0;0;0;0;0;0;0
2015;1;"C2";"PUPA";64;4352;0;0;0;1;0;0;0;0;2;1;0;3;1;0;0
2015;1;"C2";"SASO";128;256;0;0;0;2;0;0;0;1;0;0;1;1;0;0;0
2015;1;"C2";"SOAS";2;58;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0
2015;1;"C2";"SOAS";3;87;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
2015;1;"C3";"CETE";3;438;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0
2015;1;"C3";"CHFU";14;882;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0
2015;1;"C3";"HOMA";6;90;0;0;3;1;0;0;0;1;0;0;0;0;0;0;0
2015;1;"C3";"LEMA";11;605;0;0;1;1;0;0;0;1;0;0;0;1;0;0;0
2015;1;"C3";"PAIN";10;230;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0
2015;1;"C3";"PLCO";7;238;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0
2015;1;"C3";"POMA";3;420;0;0;3;0;0;0;0;0;1;0;0;0;0;0;0
2015;1;"C3";"POMO";1;77;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0
2015;1;"C3";"PUPA";4;272;0;0;3;1;0;0;0;0;0;1;0;0;0;0;0
2015;1;"C3";"PUPA";5;340;0;0;1;1;0;0;0;2;0;0;0;0;0;0;0
2015;1;"C3";"SASO";48;96;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0
2015;1;"C3";"SOAS";3;87;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0
2015;1;"C4";"CHFU";4;252;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0
2015;1;"C4";"HOMA";7;105;0;0;1;0;2;0;0;3;0;0;0;0;1;0;0
2015;1;"C4";"LEMA";5;275;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
2015;1;"C4";"PAIN";4;92;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0
2015;1;"C4";"PLCO";11;374;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0
2015;1;"C4";"SASO";16;32;0;0;0;3;0;0;0;0;0;0;0;1;0;0;0
2015;1;"C4";"SCLA";4;152;0;0;1;1;0;0;3;1;0;0;0;0;0;0;0
2015;1;"C4";"SOAS";4;116;0;0;3;0;2;0;0;0;2;0;0;0;0;0;0
2015;1;"C4";"SOAS";8;232;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0
2015;1;"C5";"CHFU";15;945;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
2015;1;"C5";"HOMA";8;120;0;0;1;1;0;0;2;2;0;2;0;6;0;0;0
2015;1;"C5";"LEMA";5;275;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0
2015;1;"C5";"PAIN";6;138;0;0;0;1;1;0;1;3;0;0;0;0;0;0;0
2015;1;"C5";"PLCO";12;408;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
2015;1;"C5";"POMA";2;280;0;0;0;0;0;0;4;3;0;1;0;0;0;0;0
2015;1;"C5";"POMO";2;154;0;0;0;0;0;0;4;3;1;0;0;0;0;0;0
2015;1;"C5";"SASO";20;40;0;0;0;2;1;0;0;1;0;0;0;1;0;0;0
2015;1;"C5";"SCLA";1;38;0;0;0;1;0;0;0;2;0;1;0;0;1;0;0
2015;1;"C5";"SCLA";2;76;0;0;0;0;0;0;2;3;2;0;0;0;1;0;0
2015;1;"C5";"SOAS";3;87;0;0;2;0;1;0;0;0;1;0;0;0;0;0;0
2015;1;"C6";"CETE";2;292;0;0;0;1;0;0;0;2;8;1;0;2;0;0;0
2015;1;"C6";"CHFU";15;945;0;0;2;0;1;0;0;1;1;0;0;0;0;0;0
2015;1;"C6";"HOMA";6;90;0;0;0;0;2;0;0;2;1;0;0;2;0;0;0
2015;1;"C6";"LEMA";18;990;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0
2015;1;"C6";"PAIN";15;345;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0
2015;1;"C6";"PLCO";7;238;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0
2015;1;"C6";"POMA";2;280;0;0;1;0;0;0;0;1;4;0;0;0;0;0;0
2015;1;"C6";"POMO";1;77;0;0;0;0;0;0;0;2;2;5;0;6;0;0;0
2015;1;"C6";"PUPA";4;272;0;0;3;0;0;0;0;1;3;0;0;3;0;0;0
2015;1;"C6";"SASO";16;32;0;2;0;2;1;0;0;1;0;0;0;0;0;0;0
2015;1;"C6";"SCLA";5;190;0;0;0;0;0;0;1;1;1;1;0;1;0;0;0
2015;1;"C6";"SOAS";3;87;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0
2015;1;"D1";"BEMA";26;104;0;0;0;2;0;0;2;3;1;0;0;0;0;0;0
2015;1;"D1";"BEMA";50;200;0;0;0;2;1;0;1;2;0;0;0;4;0;0;0
2015;1;"D1";"CETE";2;292;0;0;0;0;0;1;0;2;3;0;0;0;0;0;0
2015;1;"D1";"HOMA";12;180;1;0;1;0;0;0;2;2;3;0;0;0;0;0;0
2015;1;"D1";"LEMA";13;715;0;0;2;0;0;0;2;3;0;0;0;0;0;0;0
2015;1;"D1";"PAIN";4;92;1;0;3;0;1;0;1;0;0;0;0;2;0;0;0
2015;1;"D1";"PLCO";15;510;0;0;2;0;0;0;3;2;0;0;0;0;0;0;0
2015;1;"D1";"POMA";2;280;2;0;0;0;1;0;1;0;2;0;0;2;0;0;0
2015;1;"D1";"POMO";1;77;0;0;0;1;1;0;0;1;0;1;0;0;0;0;0
2015;1;"D1";"SASO";56;112;0;0;2;0;2;0;0;1;0;0;0;2;0;0;0
2015;1;"D2";"BEMA";40;160;0;0;1;1;3;0;1;3;3;0;0;0;0;0;0
2015;1;"D2";"CETE";1;146;0;0;2;1;0;0;0;1;0;0;0;0;0;0;0
2015;1;"D2";"HOMA";10;150;0;0;1;0;0;0;0;2;1;0;0;0;0;0;0
2015;1;"D2";"LEMA";14;770;0;0;1;1;0;0;2;2;1;0;1;1;0;0;0
2015;1;"D2";"PAIN";5;115;0;0;1;0;1;0;2;0;0;0;0;0;0;0;0
2015;1;"D2";"PLCO";1;34;0;1;2;1;2;0;0;0;0;0;0;0;0;0;0
2015;1;"D2";"POMA";1;140;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0
2015;1;"D2";"PUPA";4;272;0;0;0;0;1;0;1;1;0;0;0;1;0;0;0
2015;1;"D2";"PUPA";34;2312;0;0;1;2;0;0;1;0;0;0;0;0;0;0;0
2015;1;"D2";"SASO";370;740;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0
2015;1;"D2";"SCLA";1;38;0;0;1;0;0;0;1;2;0;0;0;0;0;1;0
2015;1;"D3";"CETE";2;292;0;0;0;1;0;0;2;1;0;0;0;1;1;0;0
2015;1;"D3";"HOMA";4;60;0;0;0;1;0;0;0;3;0;3;0;0;0;0;0
2015;1;"D3";"LEMA";14;770;0;2;3;0;2;0;1;2;0;0;0;0;0;0;0
2015;1;"D3";"PAIN";9;207;0;0;0;0;1;0;1;2;4;1;0;0;0;0;0
2015;1;"D3";"PLCO";8;272;0;2;2;0;0;0;5;0;0;0;0;1;0;0;0
2015;1;"D3";"POMA";1;140;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0
2015;1;"D3";"POMA";3;420;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0
2015;1;"D3";"POMO";2;154;0;0;0;5;0;0;0;3;0;0;0;0;0;0;0
2015;1;"D3";"PUPA";9;612;0;0;0;0;0;0;1;0;0;0;0;6;0;0;0
2015;1;"D3";"SASO";50;100;0;0;1;1;0;0;0;2;4;0;0;0;0;0;0
2015;1;"D3";"SCLA";3;114;0;1;0;1;0;0;2;1;0;0;0;1;0;0;0
2015;1;"D4";"CETE";2;292;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0
2015;1;"D4";"HOMA";6;90;0;0;3;2;1;0;0;0;0;0;0;0;0;0;0
2015;1;"D4";"LEMA";8;440;0;0;1;3;0;0;0;2;0;0;0;0;0;0;0
2015;1;"D4";"PAIN";3;69;0;0;1;1;2;0;0;0;0;0;0;1;0;0;0
2015;1;"D4";"PLCO";5;170;0;1;2;3;0;0;0;0;0;0;0;0;0;0;0
2015;1;"D4";"POMO";1;77;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0
2015;1;"D4";"SASO";88;176;0;0;2;1;1;0;1;0;0;0;0;0;0;0;0
2015;1;"D4";"SCLA";2;76;0;0;0;0;4;0;0;0;0;0;0;1;0;0;0
2015;1;"D4";"SCLA";3;114;0;0;2;2;1;0;0;0;0;0;0;0;1;0;0
2015;1;"D5";"CETE";2;292;0;0;1;0;2;0;0;0;0;0;0;1;1;0;0
2015;1;"D5";"HOMA";9;135;0;1;2;0;1;0;0;1;0;0;0;1;0;0;0
2015;1;"D5";"LEMA";11;605;0;2;2;3;1;0;0;0;0;0;0;0;0;0;0
2015;1;"D5";"PAIN";3;69;0;0;2;1;0;0;1;1;0;0;0;0;0;0;0
2015;1;"D5";"PLCO";2;68;0;1;3;2;2;0;2;0;0;0;0;1;0;0;0
2015;1;"D5";"POMA";1;140;0;0;2;0;0;0;0;1;0;0;0;0;0;0;1
2015;1;"D5";"POMO";1;77;0;2;0;0;1;0;0;2;0;0;0;0;0;0;1
2015;1;"D5";"SASO";42;84;0;0;3;0;0;0;0;1;3;0;0;1;0;0;0
2015;1;"D5";"SCLA";3;114;0;1;0;1;2;0;0;0;0;0;0;1;0;0;0
2015;1;"D5";"SPRU";11;517;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0
2015;1;"D5";"SPRU";15;705;0;0;1;0;2;0;1;2;0;0;0;0;0;0;0
2015;1;"D6";"CETE";4;584;0;0;1;0;0;0;2;0;2;0;0;0;0;0;0
2015;1;"D6";"HOMA";6;90;0;0;0;0;1;0;1;0;2;0;0;0;0;0;2
2015;1;"D6";"LEMA";16;880;0;1;3;3;0;0;2;0;0;0;0;1;0;0;0
2015;1;"D6";"PAIN";8;184;0;0;1;0;0;0;0;0;4;0;0;0;0;0;0
2015;1;"D6";"PLCO";8;272;0;0;3;0;1;0;2;0;3;0;0;3;0;0;0
2015;1;"D6";"POMA";1;140;0;0;0;1;1;0;1;0;1;1;0;0;0;0;0
2015;1;"D6";"POMO";1;77;0;0;0;1;1;0;1;0;3;0;0;0;0;0;0
2015;1;"D6";"SASO";124;248;0;0;1;0;2;0;0;0;0;0;0;1;1;0;0
2015;1;"D6";"SCLA";7;266;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0
2015;1;"E1";"CETE";2;292;0;1;0;0;1;0;0;0;1;0;0;5;0;0;0
2015;1;"E1";"HOMA";6;90;0;1;0;0;1;0;0;1;2;1;0;12;0;0;0
2015;1;"E1";"LEMA";3;165;0;2;1;0;2;0;0;0;0;0;0;0;0;0;0
2015;1;"E1";"PAIN";5;115;0;0;0;1;0;0;2;0;5;1;0;2;0;0;0
2015;1;"E1";"PLCO";3;102;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0
2015;1;"E1";"POMA";1;140;0;2;1;0;1;0;0;0;0;0;0;3;0;0;0
2015;1;"E1";"POMA";3;420;0;0;0;0;0;0;1;0;4;1;0;3;0;0;0
2015;1;"E1";"POMO";2;154;0;2;0;0;0;0;1;0;7;0;0;3;0;0;0
2015;1;"E1";"SASO";32;64;0;0;0;1;1;0;0;1;0;0;0;6;0;0;0
2015;1;"E1";"SCLA";3;114;0;1;0;0;0;0;1;0;2;0;0;2;0;0;0
2015;1;"E2";"BEMA";15;60;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0
2015;1;"E2";"CETE";2;292;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
2015;1;"E2";"HOMA";12;180;0;6;0;0;0;0;0;3;0;0;0;2;0;0;0
2015;1;"E2";"LEMA";15;825;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0
2015;1;"E2";"PAIN";5;115;0;0;1;0;2;0;0;1;0;0;0;2;0;0;0
2015;1;"E2";"PLCO";13;442;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
2015;1;"E2";"POMA";1;140;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0
2015;1;"E2";"POMO";2;154;0;1;0;1;1;0;0;2;0;0;0;1;0;0;0
2015;1;"E2";"PUPA";15;1020;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
2015;1;"E2";"PUPA";21;1428;0;0;0;0;1;0;0;0;0;0;0;3;0;0;0
2015;1;"E2";"SASO";288;576;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0
2015;1;"E3";"CETE";3;438;0;0;1;0;1;0;0;1;2;2;0;0;0;0;0
2015;1;"E3";"HOMA";6;90;0;2;0;0;1;0;1;4;0;0;0;0;0;0;0
2015;1;"E3";"LEMA";10;550;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0
2015;1;"E3";"PAIN";6;138;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0
2015;1;"E3";"PLCO";35;1190;0;0;2;1;0;0;0;0;2;0;0;0;0;0;0
2015;1;"E3";"POMA";1;140;0;0;2;0;0;0;0;0;8;1;0;1;0;0;0
2015;1;"E3";"POMO";2;154;0;0;2;0;1;0;0;1;3;0;0;0;0;0;0
2015;1;"E3";"SASO";792;1584;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0
2015;1;"E4";"CETE";2;292;0;4;3;0;0;0;0;1;0;1;0;0;0;0;0
2015;1;"E4";"HOMA";11;165;0;0;3;0;1;0;0;2;0;1;0;0;0;0;0
