"sp";"lambda"
"BEMA";4,29408224051701
"CETE";7,37419390792801
"HOMA";3,17096922799253
"LEMA";5,18646161332562
"PAIN";2,57312688120695
"PLCO";3,87877826364264
"POMO";4,78832078806917
"SASO";4,15753126989946
"CHFU";5,69305451714513
"POMA";5,20266380980999
"SCLA";4,05047964835508
"SOAS";5,25194735735671
"PUPA";6,77831096581341
"SPRU";7,36786857284111
"MESP";4,36168741897424
