"year.predicted";"plot";"type";"intensity";"timestep";"metric";"value"
2019;6;"dd";1;2;"abundance";5579,87194904158
2019;6;"dd";1;2;"richness";4
2019;6;"dd";1;2;"evenness";2,44129341080675
2019;6;"dd";1;5;"abundance";256294726141,91
2019;6;"dd";1;5;"richness";3
2019;6;"dd";1;5;"evenness";1,00000002652682
2019;6;"dd";1;10;"abundance";4,10479720106253e+24
2019;6;"dd";1;10;"richness";3
2019;6;"dd";1;10;"evenness";1
2019;6;"dd";1;15;"abundance";6,57421256232509e+37
2019;6;"dd";1;15;"richness";3
2019;6;"dd";1;15;"evenness";1
2019;6;"dd";1;20;"abundance";1,0529209775198e+51
2019;6;"dd";1;20;"richness";3
2019;6;"dd";1;20;"evenness";1
2019;6;"dd";2;2;"abundance";4842,07266167387
2019;6;"dd";2;2;"richness";4
2019;6;"dd";2;2;"evenness";2,39120057040209
2019;6;"dd";2;5;"abundance";394,123016768419
2019;6;"dd";2;5;"richness";3
2019;6;"dd";2;5;"evenness";1,05280746628612
2019;6;"dd";2;10;"abundance";23230,5001479788
2019;6;"dd";2;10;"richness";3
2019;6;"dd";2;10;"evenness";1,30974179311458
2019;6;"dd";2;15;"abundance";1718,53110102477
2019;6;"dd";2;15;"richness";3
2019;6;"dd";2;15;"evenness";1,36281950200871
2019;6;"dd";2;20;"abundance";1655,90161643726
2019;6;"dd";2;20;"richness";3
2019;6;"dd";2;20;"evenness";1,31878447110801
2019;6;"dd";3;2;"abundance";4478,88407182728
2019;6;"dd";3;2;"richness";4
2019;6;"dd";3;2;"evenness";2,3224304049391
2019;6;"dd";3;5;"abundance";173,706286032063
2019;6;"dd";3;5;"richness";2
2019;6;"dd";3;5;"evenness";1,23016225283522
2019;6;"dd";3;10;"abundance";812,335340921781
2019;6;"dd";3;10;"richness";3
2019;6;"dd";3;10;"evenness";2,68836173194457
2019;6;"dd";3;15;"abundance";489,399066867147
2019;6;"dd";3;15;"richness";2
2019;6;"dd";3;15;"evenness";1,67677259986236
2019;6;"dd";3;20;"abundance";378,56598291412
2019;6;"dd";3;20;"richness";2
2019;6;"dd";3;20;"evenness";1,26152571877231
2019;6;"dd";4;2;"abundance";4268,44447711607
2019;6;"dd";4;2;"richness";4
2019;6;"dd";4;2;"evenness";2,2613851200221
2019;6;"dd";4;5;"abundance";2264,92548960218
2019;6;"dd";4;5;"richness";4
2019;6;"dd";4;5;"evenness";1,49008939024548
2019;6;"dd";4;10;"abundance";552,284819112731
2019;6;"dd";4;10;"richness";2
2019;6;"dd";4;10;"evenness";1,00436977224047
2019;6;"dd";4;15;"abundance";21692,360125998
2019;6;"dd";4;15;"richness";3
2019;6;"dd";4;15;"evenness";1,23589302920248
2019;6;"dd";4;20;"abundance";544,340324272981
2019;6;"dd";4;20;"richness";2
2019;6;"dd";4;20;"evenness";1,0636222883142
2019;6;"dd";5;2;"abundance";4134,50156328637
2019;6;"dd";5;2;"richness";4
2019;6;"dd";5;2;"evenness";2,20961918158916
2019;6;"dd";5;5;"abundance";7432,02237122737
2019;6;"dd";5;5;"richness";4
2019;6;"dd";5;5;"evenness";1,20937911001666
2019;6;"dd";5;10;"abundance";486,544519994851
2019;6;"dd";5;10;"richness";2
2019;6;"dd";5;10;"evenness";1,01634841657883
2019;6;"dd";5;15;"abundance";23054,7922971304
2019;6;"dd";5;15;"richness";2
2019;6;"dd";5;15;"evenness";1,09475788232781
2019;6;"dd";5;20;"abundance";649,377269598416
2019;6;"dd";5;20;"richness";2
2019;6;"dd";5;20;"evenness";1,93579851065249
2019;6;"dd";6;2;"abundance";4048,66049852982
2019;6;"dd";6;2;"richness";4
2019;6;"dd";6;2;"evenness";2,16634458605822
2019;6;"dd";6;5;"abundance";735,185775506336
2019;6;"dd";6;5;"richness";4
2019;6;"dd";6;5;"evenness";2,81196653899979
2019;6;"dd";6;10;"abundance";609,609659347719
2019;6;"dd";6;10;"richness";3
2019;6;"dd";6;10;"evenness";1,99749570757377
2019;6;"dd";6;15;"abundance";416,569076677133
2019;6;"dd";6;15;"richness";3
2019;6;"dd";6;15;"evenness";1,11311410247792
2019;6;"dd";6;20;"abundance";662,922019351949
2019;6;"dd";6;20;"richness";3
2019;6;"dd";6;20;"evenness";1,0231068543926
2019;6;"dd";7;2;"abundance";3998,91653279745
2019;6;"dd";7;2;"richness";4
2019;6;"dd";7;2;"evenness";2,13136200025993
2019;6;"dd";7;5;"abundance";1331,25205238721
2019;6;"dd";7;5;"richness";4
2019;6;"dd";7;5;"evenness";2,03073400994196
2019;6;"dd";7;10;"abundance";986,512801899902
2019;6;"dd";7;10;"richness";3
2019;6;"dd";7;10;"evenness";2,03162363126053
2019;6;"dd";7;15;"abundance";653,677464999503
2019;6;"dd";7;15;"richness";3
2019;6;"dd";7;15;"evenness";1,05967544729707
2019;6;"dd";7;20;"abundance";936,948196579314
2019;6;"dd";7;20;"richness";3
2019;6;"dd";7;20;"evenness";1,96610593109261
2019;6;"dd";8;2;"abundance";3979,41722455757
2019;6;"dd";8;2;"richness";4
2019;6;"dd";8;2;"evenness";2,10462790093698
2019;6;"dd";8;5;"abundance";1220,3595469215
2019;6;"dd";8;5;"richness";4
2019;6;"dd";8;5;"evenness";1,8901151083277
2019;6;"dd";8;10;"abundance";661,521266795691
2019;6;"dd";8;10;"richness";3
2019;6;"dd";8;10;"evenness";1,42730341700204
2019;6;"dd";8;15;"abundance";641,702490471913
2019;6;"dd";8;15;"richness";3
2019;6;"dd";8;15;"evenness";1,51163734428093
2019;6;"dd";8;20;"abundance";449,773698020681
2019;6;"dd";8;20;"richness";3
2019;6;"dd";8;20;"evenness";1,70018950898881
2019;6;"dd";9;2;"abundance";3987,05179140325
2019;6;"dd";9;2;"richness";4
2019;6;"dd";9;2;"evenness";2,08582753669788
2019;6;"dd";9;5;"abundance";4384,61121083542
2019;6;"dd";9;5;"richness";4
2019;6;"dd";9;5;"evenness";1,68001358908811
2019;6;"dd";9;10;"abundance";1307,49632675943
2019;6;"dd";9;10;"richness";4
2019;6;"dd";9;10;"evenness";2,14637907817823
2019;6;"dd";9;15;"abundance";3039,71623834183
2019;6;"dd";9;15;"richness";4
2019;6;"dd";9;15;"evenness";2,00379111830024
2019;6;"dd";9;20;"abundance";931,614363360998
2019;6;"dd";9;20;"richness";3
2019;6;"dd";9;20;"evenness";2,23908800731377
2019;6;"dd";10;2;"abundance";4020,25864903307
2019;6;"dd";10;2;"richness";4
2019;6;"dd";10;2;"evenness";2,07423524502632
2019;6;"dd";10;5;"abundance";11950,7222884961
2019;6;"dd";10;5;"richness";4
2019;6;"dd";10;5;"evenness";2,13153470186926
2019;6;"dd";10;10;"abundance";321,447810728371
2019;6;"dd";10;10;"richness";3
2019;6;"dd";10;10;"evenness";1,54080571098495
2019;6;"dd";10;15;"abundance";786,936299484622
2019;6;"dd";10;15;"richness";4
2019;6;"dd";10;15;"evenness";2,27636516352494
2019;6;"dd";10;20;"abundance";918,712951178207
2019;6;"dd";10;20;"richness";3
2019;6;"dd";10;20;"evenness";1,84678862695819
2019;6;"ia";1;2;"abundance";5579,87194904158
2019;6;"ia";1;2;"richness";4
2019;6;"ia";1;2;"evenness";2,44129341080675
2019;6;"ia";1;5;"abundance";256294726141,91
2019;6;"ia";1;5;"richness";3
2019;6;"ia";1;5;"evenness";1,00000002652682
2019;6;"ia";1;10;"abundance";4,10479720106253e+24
2019;6;"ia";1;10;"richness";3
2019;6;"ia";1;10;"evenness";1
2019;6;"ia";1;15;"abundance";6,57421256232509e+37
2019;6;"ia";1;15;"richness";3
2019;6;"ia";1;15;"evenness";1
2019;6;"ia";1;20;"abundance";1,0529209775198e+51
2019;6;"ia";1;20;"richness";3
2019;6;"ia";1;20;"evenness";1
2019;6;"ia";2;2;"abundance";5578,60898723138
2019;6;"ia";2;2;"richness";4
2019;6;"ia";2;2;"evenness";2,4412643938327
2019;6;"ia";2;5;"abundance";256294726140,797
2019;6;"ia";2;5;"richness";3
2019;6;"ia";2;5;"evenness";1,00000002643769
2019;6;"ia";2;10;"abundance";4,10479720106253e+24
2019;6;"ia";2;10;"richness";3
2019;6;"ia";2;10;"evenness";1
2019;6;"ia";2;15;"abundance";6,57421256232509e+37
2019;6;"ia";2;15;"richness";3
2019;6;"ia";2;15;"evenness";1
2019;6;"ia";2;20;"abundance";1,0529209775198e+51
2019;6;"ia";2;20;"richness";3
2019;6;"ia";2;20;"evenness";1
2019;6;"ia";3;2;"abundance";5577,35036007664
2019;6;"ia";3;2;"richness";4
2019;6;"ia";3;2;"evenness";2,44124478764378
2019;6;"ia";3;5;"abundance";256294726139,713
2019;6;"ia";3;5;"richness";3
2019;6;"ia";3;5;"evenness";1,00000002635086
2019;6;"ia";3;10;"abundance";4,10479720106253e+24
2019;6;"ia";3;10;"richness";3
2019;6;"ia";3;10;"evenness";1
2019;6;"ia";3;15;"abundance";6,57421256232509e+37
2019;6;"ia";3;15;"richness";3
2019;6;"ia";3;15;"evenness";1
2019;6;"ia";3;20;"abundance";1,0529209775198e+51
2019;6;"ia";3;20;"richness";3
2019;6;"ia";3;20;"evenness";1
2019;6;"ia";4;2;"abundance";5576,09712107586
2019;6;"ia";4;2;"richness";4
2019;6;"ia";4;2;"evenness";2,44123926980555
2019;6;"ia";4;5;"abundance";256294726138,659
2019;6;"ia";4;5;"richness";3
2019;6;"ia";4;5;"evenness";1,00000002626645
2019;6;"ia";4;10;"abundance";4,10479720106253e+24
2019;6;"ia";4;10;"richness";3
2019;6;"ia";4;10;"evenness";1
2019;6;"ia";4;15;"abundance";6,57421256232509e+37
2019;6;"ia";4;15;"richness";3
2019;6;"ia";4;15;"evenness";1
2019;6;"ia";4;20;"abundance";1,0529209775198e+51
2019;6;"ia";4;20;"richness";3
2019;6;"ia";4;20;"evenness";1
2019;6;"ia";5;2;"abundance";5574,85090505776
2019;6;"ia";5;2;"richness";4
2019;6;"ia";5;2;"evenness";2,44125477430336
2019;6;"ia";5;5;"abundance";256294726137,638
2019;6;"ia";5;5;"richness";3
2019;6;"ia";5;5;"evenness";1,00000002618469
2019;6;"ia";5;10;"abundance";4,10479720106253e+24
2019;6;"ia";5;10;"richness";3
2019;6;"ia";5;10;"evenness";1
2019;6;"ia";5;15;"abundance";6,57421256232509e+37
2019;6;"ia";5;15;"richness";3
2019;6;"ia";5;15;"evenness";1
2019;6;"ia";5;20;"abundance";1,0529209775198e+51
2019;6;"ia";5;20;"richness";3
2019;6;"ia";5;20;"evenness";1
2019;6;"ia";6;2;"abundance";5573,61424756606
2019;6;"ia";6;2;"richness";4
2019;6;"ia";6;2;"evenness";2,44130155925838
2019;6;"ia";6;5;"abundance";256294726136,656
2019;6;"ia";6;5;"richness";3
2019;6;"ia";6;5;"evenness";1,00000002610598
2019;6;"ia";6;10;"abundance";4,10479720106253e+24
2019;6;"ia";6;10;"richness";3
2019;6;"ia";6;10;"evenness";1
2019;6;"ia";6;15;"abundance";6,57421256232509e+37
2019;6;"ia";6;15;"richness";3
2019;6;"ia";6;15;"evenness";1
2019;6;"ia";6;20;"abundance";1,0529209775198e+51
2019;6;"ia";6;20;"richness";3
2019;6;"ia";6;20;"evenness";1
2019;6;"ia";7;2;"abundance";5572,39107971796
2019;6;"ia";7;2;"richness";4
2019;6;"ia";7;2;"evenness";2,4413947668833
2019;6;"ia";7;5;"abundance";256294726135,72
2019;6;"ia";7;5;"richness";3
2019;6;"ia";7;5;"evenness";1,00000002603103
2019;6;"ia";7;10;"abundance";4,10479720106253e+24
2019;6;"ia";7;10;"richness";3
2019;6;"ia";7;10;"evenness";1
2019;6;"ia";7;15;"abundance";6,57421256232509e+37
2019;6;"ia";7;15;"richness";3
2019;6;"ia";7;15;"evenness";1
2019;6;"ia";7;20;"abundance";1,0529209775198e+51
2019;6;"ia";7;20;"richness";3
2019;6;"ia";7;20;"evenness";1
2019;6;"ia";8;2;"abundance";5571,18749494371
2019;6;"ia";8;2;"richness";4
2019;6;"ia";8;2;"evenness";2,44155669445945
2019;6;"ia";8;5;"abundance";256294726134,847
2019;6;"ia";8;5;"richness";3
2019;6;"ia";8;5;"evenness";1,00000002596103
2019;6;"ia";8;10;"abundance";4,10479720106253e+24
2019;6;"ia";8;10;"richness";3
2019;6;"ia";8;10;"evenness";1
2019;6;"ia";8;15;"abundance";6,57421256232509e+37
2019;6;"ia";8;15;"richness";3
2019;6;"ia";8;15;"evenness";1
2019;6;"ia";8;20;"abundance";1,0529209775198e+51
2019;6;"ia";8;20;"richness";3
2019;6;"ia";8;20;"evenness";1
2019;6;"ia";9;2;"abundance";5570,01293698177
2019;6;"ia";9;2;"richness";4
2019;6;"ia";9;2;"evenness";2,44182008717146
2019;6;"ia";9;5;"abundance";256294726134,06
2019;6;"ia";9;5;"richness";3
2019;6;"ia";9;5;"evenness";1,00000002589796
2019;6;"ia";9;10;"abundance";4,10479720106253e+24
2019;6;"ia";9;10;"richness";3
2019;6;"ia";9;10;"evenness";1
2019;6;"ia";9;15;"abundance";6,57421256232509e+37
2019;6;"ia";9;15;"richness";3
2019;6;"ia";9;15;"evenness";1
2019;6;"ia";9;20;"abundance";1,0529209775198e+51
2019;6;"ia";9;20;"richness";3
2019;6;"ia";9;20;"evenness";1
2019;6;"ia";10;2;"abundance";5568,88204057235
2019;6;"ia";10;2;"richness";4
2019;6;"ia";10;2;"evenness";2,44223289105438
2019;6;"ia";10;5;"abundance";256294726133,401
2019;6;"ia";10;5;"richness";3
2019;6;"ia";10;5;"evenness";1,00000002584511
2019;6;"ia";10;10;"abundance";4,10479720106253e+24
2019;6;"ia";10;10;"richness";3
2019;6;"ia";10;10;"evenness";1
2019;6;"ia";10;15;"abundance";6,57421256232509e+37
2019;6;"ia";10;15;"richness";3
2019;6;"ia";10;15;"evenness";1
2019;6;"ia";10;20;"abundance";1,0529209775198e+51
2019;6;"ia";10;20;"richness";3
2019;6;"ia";10;20;"evenness";1
2019;6;"id";1;2;"abundance";5579,87194904158
2019;6;"id";1;2;"richness";4
2019;6;"id";1;2;"evenness";2,44129341080675
2019;6;"id";1;5;"abundance";256294726141,91
2019;6;"id";1;5;"richness";3
2019;6;"id";1;5;"evenness";1,00000002652682
2019;6;"id";1;10;"abundance";4,10479720106253e+24
2019;6;"id";1;10;"richness";3
2019;6;"id";1;10;"evenness";1
2019;6;"id";1;15;"abundance";6,57421256232509e+37
2019;6;"id";1;15;"richness";3
2019;6;"id";1;15;"evenness";1
2019;6;"id";1;20;"abundance";1,0529209775198e+51
2019;6;"id";1;20;"richness";3
2019;6;"id";1;20;"evenness";1
2019;6;"id";2;2;"abundance";3530,02110532659
2019;6;"id";2;2;"richness";4
2019;6;"id";2;2;"evenness";2,42149705959996
2019;6;"id";2;5;"abundance";154,48898919986
2019;6;"id";2;5;"richness";3
2019;6;"id";2;5;"evenness";1,0650383024051
2019;6;"id";2;10;"abundance";13817,8663746878
2019;6;"id";2;10;"richness";3
2019;6;"id";2;10;"evenness";1,09891009056285
2019;6;"id";2;15;"abundance";72430,1597407202
2019;6;"id";2;15;"richness";3
2019;6;"id";2;15;"evenness";1,00270565662476
2019;6;"id";2;20;"abundance";480,455813213094
2019;6;"id";2;20;"richness";2
2019;6;"id";2;20;"evenness";1,7133724230188
2019;6;"id";3;2;"abundance";2350,14620399292
2019;6;"id";3;2;"richness";4
2019;6;"id";3;2;"evenness";2,44384876701506
2019;6;"id";3;5;"abundance";12809,2225311041
2019;6;"id";3;5;"richness";3
2019;6;"id";3;5;"evenness";1,0351196956017
2019;6;"id";3;10;"abundance";256,621214937441
2019;6;"id";3;10;"richness";2
2019;6;"id";3;10;"evenness";1,47191661232223
2019;6;"id";3;15;"abundance";772,685736860637
2019;6;"id";3;15;"richness";3
2019;6;"id";3;15;"evenness";2,15379646737772
2019;6;"id";3;20;"abundance";8,7287807190069
2019;6;"id";3;20;"richness";2
2019;6;"id";3;20;"evenness";1,01361259312673
2019;6;"id";4;2;"abundance";1612,35109849843
2019;6;"id";4;2;"richness";4
2019;6;"id";4;2;"evenness";2,47466524511279
2019;6;"id";4;5;"abundance";5365,95319523678
2019;6;"id";4;5;"richness";3
2019;6;"id";4;5;"evenness";1,07892221905205
2019;6;"id";4;10;"abundance";21621,6415283382
2019;6;"id";4;10;"richness";3
2019;6;"id";4;10;"evenness";1,02732512808238
2019;6;"id";4;15;"abundance";156,749668237281
2019;6;"id";4;15;"richness";2
2019;6;"id";4;15;"evenness";1,94875947160511
2019;6;"id";4;20;"abundance";18,3248815901036
2019;6;"id";4;20;"richness";3
2019;6;"id";4;20;"evenness";1,0064615407213
2019;6;"id";5;2;"abundance";1127,61175613495
2019;6;"id";5;2;"richness";4
2019;6;"id";5;2;"evenness";2,49406038950314
2019;6;"id";5;5;"abundance";25458,9396565838
2019;6;"id";5;5;"richness";4
2019;6;"id";5;5;"evenness";1,06737306125134
2019;6;"id";5;10;"abundance";79,5169433453341
2019;6;"id";5;10;"richness";3
2019;6;"id";5;10;"evenness";1,83402460629377
2019;6;"id";5;15;"abundance";25,4043463811054
2019;6;"id";5;15;"richness";2
2019;6;"id";5;15;"evenness";1,14221359106201
2019;6;"id";5;20;"abundance";123,545108068457
2019;6;"id";5;20;"richness";3
2019;6;"id";5;20;"evenness";2,55520350884332
2019;6;"id";6;2;"abundance";799,643662335489
2019;6;"id";6;2;"richness";3
2019;6;"id";6;2;"evenness";2,4936950314861
2019;6;"id";6;5;"abundance";1748,74240075423
2019;6;"id";6;5;"richness";3
2019;6;"id";6;5;"evenness";1,00585391088697
2019;6;"id";6;10;"abundance";32,2943805707264
2019;6;"id";6;10;"richness";3
2019;6;"id";6;10;"evenness";1,86701916794396
2019;6;"id";6;15;"abundance";6,68179999917898
2019;6;"id";6;15;"richness";3
2019;6;"id";6;15;"evenness";1,03786492315072
2019;6;"id";6;20;"abundance";244,885686499295
2019;6;"id";6;20;"richness";2
2019;6;"id";6;20;"evenness";1,89941485975076
2019;6;"id";7;2;"abundance";573,498591615183
2019;6;"id";7;2;"richness";3
2019;6;"id";7;2;"evenness";2,47195194316613
2019;6;"id";7;5;"abundance";120,93041552716
2019;6;"id";7;5;"richness";3
2019;6;"id";7;5;"evenness";1,02283373506429
2019;6;"id";7;10;"abundance";0,11170466644
2019;6;"id";7;10;"richness";1
2019;6;"id";7;10;"evenness";1
2019;6;"id";7;15;"abundance";50,0055355480394
2019;6;"id";7;15;"richness";2
2019;6;"id";7;15;"evenness";1,98125106669607
2019;6;"id";7;20;"abundance";1,51820034332263
2019;6;"id";7;20;"richness";2
2019;6;"id";7;20;"evenness";1,28714911388836
2019;6;"id";8;2;"abundance";415,373316654018
2019;6;"id";8;2;"richness";3
2019;6;"id";8;2;"evenness";2,43064339451015
2019;6;"id";8;5;"abundance";27,3874393393692
2019;6;"id";8;5;"richness";4
2019;6;"id";8;5;"evenness";2,83993120482953
2019;6;"id";8;10;"abundance";59,3445653077408
2019;6;"id";8;10;"richness";4
2019;6;"id";8;10;"evenness";2,65806292267476
2019;6;"id";8;15;"abundance";9510,84251339659
2019;6;"id";8;15;"richness";3
2019;6;"id";8;15;"evenness";1,00089142186735
2019;6;"id";8;20;"abundance";2,70968845798687
2019;6;"id";8;20;"richness";3
2019;6;"id";8;20;"evenness";1,516601174427
2019;6;"id";9;2;"abundance";303,524009212913
2019;6;"id";9;2;"richness";3
2019;6;"id";9;2;"evenness";2,37341599526059
2019;6;"id";9;5;"abundance";240,220965318046
2019;6;"id";9;5;"richness";4
2019;6;"id";9;5;"evenness";1,86898659783279
2019;6;"id";9;10;"abundance";4527,18706398648
2019;6;"id";9;10;"richness";4
2019;6;"id";9;10;"evenness";1,01003678765234
2019;6;"id";9;15;"abundance";116,735986917855
2019;6;"id";9;15;"richness";3
2019;6;"id";9;15;"evenness";1,06475560417187
2019;6;"id";9;20;"abundance";1,67701094016756
2019;6;"id";9;20;"richness";3
2019;6;"id";9;20;"evenness";1,1653491876233
2019;6;"id";10;2;"abundance";223,58662058998
2019;6;"id";10;2;"richness";3
2019;6;"id";10;2;"evenness";2,30465613367372
2019;6;"id";10;5;"abundance";248,187481068474
2019;6;"id";10;5;"richness";4
2019;6;"id";10;5;"evenness";1,85252148517076
2019;6;"id";10;10;"abundance";874,65161599696
2019;6;"id";10;10;"richness";4
2019;6;"id";10;10;"evenness";1,88058590021694
2019;6;"obs";1;2;"abundance";5579,87194904158
2019;6;"obs";1;2;"richness";4
2019;6;"obs";1;2;"evenness";2,44129341080675
2019;6;"obs";1;5;"abundance";256294726141,91
2019;6;"obs";1;5;"richness";3
2019;6;"obs";1;5;"evenness";1,00000002652682
2019;6;"obs";1;10;"abundance";4,10479720106253e+24
2019;6;"obs";1;10;"richness";3
2019;6;"obs";1;10;"evenness";1
2019;6;"obs";1;15;"abundance";6,57421256232509e+37
2019;6;"obs";1;15;"richness";3
2019;6;"obs";1;15;"evenness";1
2019;6;"obs";1;20;"abundance";1,0529209775198e+51
2019;6;"obs";1;20;"richness";3
2019;6;"obs";1;20;"evenness";1
2019;6;"obs";2;2;"abundance";5579,87194904158
2019;6;"obs";2;2;"richness";4
2019;6;"obs";2;2;"evenness";2,44129341080675
2019;6;"obs";2;5;"abundance";256294726141,91
2019;6;"obs";2;5;"richness";3
2019;6;"obs";2;5;"evenness";1,00000002652682
2019;6;"obs";2;10;"abundance";4,10479720106253e+24
2019;6;"obs";2;10;"richness";3
2019;6;"obs";2;10;"evenness";1
2019;6;"obs";2;15;"abundance";6,57421256232509e+37
2019;6;"obs";2;15;"richness";3
2019;6;"obs";2;15;"evenness";1
2019;6;"obs";2;20;"abundance";1,0529209775198e+51
2019;6;"obs";2;20;"richness";3
2019;6;"obs";2;20;"evenness";1
2019;6;"obs";3;2;"abundance";5579,87194904158
2019;6;"obs";3;2;"richness";4
2019;6;"obs";3;2;"evenness";2,44129341080675
2019;6;"obs";3;5;"abundance";256294726141,91
2019;6;"obs";3;5;"richness";3
2019;6;"obs";3;5;"evenness";1,00000002652682
2019;6;"obs";3;10;"abundance";4,10479720106253e+24
2019;6;"obs";3;10;"richness";3
2019;6;"obs";3;10;"evenness";1
2019;6;"obs";3;15;"abundance";6,57421256232509e+37
2019;6;"obs";3;15;"richness";3
2019;6;"obs";3;15;"evenness";1
2019;6;"obs";3;20;"abundance";1,0529209775198e+51
2019;6;"obs";3;20;"richness";3
2019;6;"obs";3;20;"evenness";1
2019;6;"obs";4;2;"abundance";5579,87194904158
2019;6;"obs";4;2;"richness";4
2019;6;"obs";4;2;"evenness";2,44129341080675
2019;6;"obs";4;5;"abundance";256294726141,91
2019;6;"obs";4;5;"richness";3
2019;6;"obs";4;5;"evenness";1,00000002652682
2019;6;"obs";4;10;"abundance";4,10479720106253e+24
2019;6;"obs";4;10;"richness";3
2019;6;"obs";4;10;"evenness";1
2019;6;"obs";4;15;"abundance";6,57421256232509e+37
2019;6;"obs";4;15;"richness";3
2019;6;"obs";4;15;"evenness";1
2019;6;"obs";4;20;"abundance";1,0529209775198e+51
2019;6;"obs";4;20;"richness";3
2019;6;"obs";4;20;"evenness";1
2019;6;"obs";5;2;"abundance";5579,87194904158
2019;6;"obs";5;2;"richness";4
2019;6;"obs";5;2;"evenness";2,44129341080675
2019;6;"obs";5;5;"abundance";256294726141,91
2019;6;"obs";5;5;"richness";3
2019;6;"obs";5;5;"evenness";1,00000002652682
2019;6;"obs";5;10;"abundance";4,10479720106253e+24
2019;6;"obs";5;10;"richness";3
2019;6;"obs";5;10;"evenness";1
2019;6;"obs";5;15;"abundance";6,57421256232509e+37
2019;6;"obs";5;15;"richness";3
2019;6;"obs";5;15;"evenness";1
2019;6;"obs";5;20;"abundance";1,0529209775198e+51
2019;6;"obs";5;20;"richness";3
2019;6;"obs";5;20;"evenness";1
2019;6;"obs";6;2;"abundance";5579,87194904158
2019;6;"obs";6;2;"richness";4
