"richness";"connectance";"diagonal.dominance";"mean.strength";"replicate";"matrix_code";"steady.state.richness";"steady.state.abundance";"steady.state.evenness"
25;0,05;0;0;1;"c0.05_d0_s0_r1";17;260;0,670368688038149
25;0,05;0;0;2;"c0.05_d0_s0_r2";14;259;0,497680742559796
25;0,05;0;0;3;"c0.05_d0_s0_r3";16;893;0,292571003885028
25;0,05;0;0;4;"c0.05_d0_s0_r4";20;197;0,781356960901062
25;0,05;0;0;5;"c0.05_d0_s0_r5";21;243;0,540522013461071
25;0,05;0;0;6;"c0.05_d0_s0_r6";21;252;0,578218377579072
25;0,05;0;0;7;"c0.05_d0_s0_r7";17;816;0,462640900934066
25;0,05;0;0;8;"c0.05_d0_s0_r8";13;286;0,746652450511156
25;0,05;0;0;9;"c0.05_d0_s0_r9";18;145;0,859045417145227
25;0,05;0;0;10;"c0.05_d0_s0_r10";17;740;0,328753837368484
25;0,05;0;0,222222222222222;1;"c0.05_d0_s0.22_r1";17;76;0,75504882216577
25;0,05;0;0,222222222222222;2;"c0.05_d0_s0.22_r2";16;237;0,410628533095286
25;0,05;0;0,222222222222222;3;"c0.05_d0_s0.22_r3";20;71;0,762873189162752
25;0,05;0;0,222222222222222;4;"c0.05_d0_s0.22_r4";17;616;0,1988299403953
25;0,05;0;0,222222222222222;5;"c0.05_d0_s0.22_r5";18;1607;0,074449646898877
25;0,05;0;0,222222222222222;6;"c0.05_d0_s0.22_r6";14;396;0,145920943522497
25;0,05;0;0,222222222222222;7;"c0.05_d0_s0.22_r7";17;205;0,617671711378797
25;0,05;0;0,222222222222222;8;"c0.05_d0_s0.22_r8";19;93;0,639762004030272
25;0,05;0;0,222222222222222;9;"c0.05_d0_s0.22_r9";19;84;0,588806794538625
25;0,05;0;0,222222222222222;10;"c0.05_d0_s0.22_r10";18;174;0,526151428853
25;0,05;0;0,444444444444444;1;"c0.05_d0_s0.44_r1";19;33;0,835353868302744
25;0,05;0;0,444444444444444;2;"c0.05_d0_s0.44_r2";20;38;0,821906350001278
25;0,05;0;0,444444444444444;3;"c0.05_d0_s0.44_r3";20;35;0,849636886804758
25;0,05;0;0,444444444444444;4;"c0.05_d0_s0.44_r4";15;40;0,864199909887831
25;0,05;0;0,444444444444444;5;"c0.05_d0_s0.44_r5";17;32;0,918713509957422
25;0,05;0;0,444444444444444;6;"c0.05_d0_s0.44_r6";17;39;0,860894263260013
25;0,05;0;0,444444444444444;7;"c0.05_d0_s0.44_r7";18;33;0,776341050640441
25;0,05;0;0,444444444444444;8;"c0.05_d0_s0.44_r8";20;35;0,806749076623787
25;0,05;0;0,444444444444444;9;"c0.05_d0_s0.44_r9";20;33;0,733050940288137
25;0,05;0;0,444444444444444;10;"c0.05_d0_s0.44_r10";16;31;0,791233390437484
25;0,05;0;0,666666666666667;1;"c0.05_d0_s0.67_r1";21;18;0,72492163404589
25;0,05;0;0,666666666666667;2;"c0.05_d0_s0.67_r2";19;24;0,815445175182473
25;0,05;0;0,666666666666667;3;"c0.05_d0_s0.67_r3";22;20;0,725850079009221
25;0,05;0;0,666666666666667;4;"c0.05_d0_s0.67_r4";21;24;0,785423017770038
25;0,05;0;0,666666666666667;5;"c0.05_d0_s0.67_r5";19;22;0,763106211920635
25;0,05;0;0,666666666666667;6;"c0.05_d0_s0.67_r6";19;23;0,778178328384046
25;0,05;0;0,666666666666667;7;"c0.05_d0_s0.67_r7";17;19;0,754670220749654
25;0,05;0;0,666666666666667;8;"c0.05_d0_s0.67_r8";18;19;0,753471191355314
25;0,05;0;0,666666666666667;9;"c0.05_d0_s0.67_r9";16;25;0,943849783951167
25;0,05;0;0,666666666666667;10;"c0.05_d0_s0.67_r10";19;22;0,834657416987033
25;0,05;0;0,888888888888889;1;"c0.05_d0_s0.89_r1";18;17;0,840243773852626
25;0,05;0;0,888888888888889;2;"c0.05_d0_s0.89_r2";21;14;0,728933297691137
25;0,05;0;0,888888888888889;3;"c0.05_d0_s0.89_r3";18;16;0,818175912611838
25;0,05;0;0,888888888888889;4;"c0.05_d0_s0.89_r4";19;14;0,791124234356256
25;0,05;0;0,888888888888889;5;"c0.05_d0_s0.89_r5";19;16;0,763044603397956
