"sp";"lambda"
"BEMA";9,9516588586178
"CETE";9,91006991427352
"HOMA";9,90183631862842
"LEMA";10,0270188428242
"PAIN";9,79125436615634
"PLCO";9,95645725562605
"POMO";9,64690520168942
"SASO";9,92017850082724
"CHFU";9,98406739168352
"POMA";9,93416116734133
"SCLA";10,2304346857353
"SOAS";9,93834613790927
"PUPA";9,98496442966781
"SPRU";10,1442090425582
"MESP";9,9644536816619
