"model";"year.predicted";"plot";"type";"intensity";"timestep";"metric";"value"
"HD";2016;1;"dd";1;1;"abundance";5889
"HD";2016;1;"dd";1;1;"richness";15
"HD";2016;1;"dd";1;1;"evenness";8,52549948037436
"HD";2016;1;"dd";1;2;"abundance";31893,5952760191
"HD";2016;1;"dd";1;2;"richness";14
"HD";2016;1;"dd";1;2;"evenness";2,91981733381784
"HD";2016;1;"dd";1;3;"abundance";1672702,58249922
"HD";2016;1;"dd";1;3;"richness";12
"HD";2016;1;"dd";1;3;"evenness";4,23410113475766
"HD";2016;1;"dd";1;4;"abundance";396534727,571284
"HD";2016;1;"dd";1;4;"richness";12
"HD";2016;1;"dd";1;4;"evenness";2,57346318218212
"HD";2016;1;"dd";1;5;"abundance";178760708137,191
"HD";2016;1;"dd";1;5;"richness";12
"HD";2016;1;"dd";1;5;"evenness";1,68447543547923
"HD";2016;1;"dd";1;6;"abundance";68496805928300,2
"HD";2016;1;"dd";1;6;"richness";12
"HD";2016;1;"dd";1;6;"evenness";1,46998110531906
"HD";2016;1;"dd";1;7;"abundance";35434181711995260
"HD";2016;1;"dd";1;7;"richness";12
"HD";2016;1;"dd";1;7;"evenness";1,27759890336316
"HD";2016;1;"dd";1;8;"abundance";15623044558231459840
"HD";2016;1;"dd";1;8;"richness";10
"HD";2016;1;"dd";1;8;"evenness";1,19174234805216
"HD";2016;1;"dd";1;9;"abundance";6,88610897330798e+21
"HD";2016;1;"dd";1;9;"richness";10
"HD";2016;1;"dd";1;9;"evenness";1,13395065149436
"HD";2016;1;"dd";1;10;"abundance";3,97243791871076e+24
"HD";2016;1;"dd";1;10;"richness";10
"HD";2016;1;"dd";1;10;"evenness";1,07553806199898
"HD";2016;1;"dd";1;11;"abundance";2,31343399233084e+27
"HD";2016;1;"dd";1;11;"richness";9
"HD";2016;1;"dd";1;11;"evenness";1,04323858139434
"HD";2016;1;"dd";1;12;"abundance";1,35156610764533e+30
"HD";2016;1;"dd";1;12;"richness";11
"HD";2016;1;"dd";1;12;"evenness";1,02627829383038
"HD";2016;1;"dd";1;13;"abundance";7,48159294776937e+32
"HD";2016;1;"dd";1;13;"richness";11
"HD";2016;1;"dd";1;13;"evenness";1,01917464842917
"HD";2016;1;"dd";1;14;"abundance";4,33095806332001e+35
"HD";2016;1;"dd";1;14;"richness";11
"HD";2016;1;"dd";1;14;"evenness";1,01664934264079
"HD";2016;1;"dd";1;15;"abundance";2,53991974093577e+38
"HD";2016;1;"dd";1;15;"richness";8
"HD";2016;1;"dd";1;15;"evenness";1,01782251470923
"HD";2016;1;"dd";1;16;"abundance";1,49035186876249e+41
"HD";2016;1;"dd";1;16;"richness";8
"HD";2016;1;"dd";1;16;"evenness";1,02217013448465
"HD";2016;1;"dd";1;17;"abundance";8,75010124842352e+43
"HD";2016;1;"dd";1;17;"richness";9
"HD";2016;1;"dd";1;17;"evenness";1,02970171095907
"HD";2016;1;"dd";1;18;"abundance";5,14131112313842e+46
"HD";2016;1;"dd";1;18;"richness";9
"HD";2016;1;"dd";1;18;"evenness";1,04098485984557
"HD";2016;1;"dd";1;19;"abundance";3,02422881948753e+49
"HD";2016;1;"dd";1;19;"richness";9
"HD";2016;1;"dd";1;19;"evenness";1,05708802642362
"HD";2016;1;"dd";1;20;"abundance";1,78179887136019e+52
"HD";2016;1;"dd";1;20;"richness";9
"HD";2016;1;"dd";1;20;"evenness";1,07960390174798
"HD";2016;1;"dd";2;1;"abundance";5889
"HD";2016;1;"dd";2;1;"richness";15
"HD";2016;1;"dd";2;1;"evenness";8,52549948037436
"HD";2016;1;"dd";2;2;"abundance";3649,05378146937
"HD";2016;1;"dd";2;2;"richness";14
"HD";2016;1;"dd";2;2;"evenness";4,69209136539808
"HD";2016;1;"dd";2;3;"abundance";10986,2807323415
"HD";2016;1;"dd";2;3;"richness";14
"HD";2016;1;"dd";2;3;"evenness";4,47041555556439
"HD";2016;1;"dd";2;4;"abundance";4893,36577478311
"HD";2016;1;"dd";2;4;"richness";13
"HD";2016;1;"dd";2;4;"evenness";5,27542493093248
"HD";2016;1;"dd";2;5;"abundance";3284,70516515626
"HD";2016;1;"dd";2;5;"richness";13
"HD";2016;1;"dd";2;5;"evenness";3,19963271227246
"HD";2016;1;"dd";2;6;"abundance";3598,08646986774
"HD";2016;1;"dd";2;6;"richness";13
"HD";2016;1;"dd";2;6;"evenness";5,50467506321851
"HD";2016;1;"dd";2;7;"abundance";6005,98421642271
"HD";2016;1;"dd";2;7;"richness";12
"HD";2016;1;"dd";2;7;"evenness";4,58980606908316
"HD";2016;1;"dd";2;8;"abundance";1552,65316043413
"HD";2016;1;"dd";2;8;"richness";12
"HD";2016;1;"dd";2;8;"evenness";3,67107545730789
"HD";2016;1;"dd";2;9;"abundance";5065,26235589956
"HD";2016;1;"dd";2;9;"richness";12
"HD";2016;1;"dd";2;9;"evenness";2,51648643035791
"HD";2016;1;"dd";2;10;"abundance";6644,2775703787
"HD";2016;1;"dd";2;10;"richness";11
"HD";2016;1;"dd";2;10;"evenness";3,39486028831642
"HD";2016;1;"dd";2;11;"abundance";1558,62668724861
"HD";2016;1;"dd";2;11;"richness";12
"HD";2016;1;"dd";2;11;"evenness";3,80434338135895
"HD";2016;1;"dd";2;12;"abundance";248,576174079111
"HD";2016;1;"dd";2;12;"richness";9
"HD";2016;1;"dd";2;12;"evenness";4,73186041602927
"HD";2016;1;"dd";2;13;"abundance";1340,5299744481
"HD";2016;1;"dd";2;13;"richness";10
"HD";2016;1;"dd";2;13;"evenness";4,99999316242888
"HD";2016;1;"dd";2;14;"abundance";983,728504612198
"HD";2016;1;"dd";2;14;"richness";11
"HD";2016;1;"dd";2;14;"evenness";3,73788173569052
"HD";2016;1;"dd";2;15;"abundance";2582,57526647257
"HD";2016;1;"dd";2;15;"richness";11
"HD";2016;1;"dd";2;15;"evenness";5,03834002123552
"HD";2016;1;"dd";2;16;"abundance";894,799357950873
"HD";2016;1;"dd";2;16;"richness";9
"HD";2016;1;"dd";2;16;"evenness";3,40331516702121
"HD";2016;1;"dd";2;17;"abundance";1510,0550404192
"HD";2016;1;"dd";2;17;"richness";9
"HD";2016;1;"dd";2;17;"evenness";2,51709485494699
"HD";2016;1;"dd";2;18;"abundance";991,483453756554
"HD";2016;1;"dd";2;18;"richness";10
"HD";2016;1;"dd";2;18;"evenness";3,56976785479783
"HD";2016;1;"dd";2;19;"abundance";1723,5971499666
"HD";2016;1;"dd";2;19;"richness";10
"HD";2016;1;"dd";2;19;"evenness";3,27565477766983
"HD";2016;1;"dd";2;20;"abundance";1550,66610528572
"HD";2016;1;"dd";2;20;"richness";10
"HD";2016;1;"dd";2;20;"evenness";3,79968471290324
"HD";2016;1;"dd";3;1;"abundance";5889
"HD";2016;1;"dd";3;1;"richness";15
"HD";2016;1;"dd";3;1;"evenness";8,52549948037436
"HD";2016;1;"dd";3;2;"abundance";2716,71850592877
"HD";2016;1;"dd";3;2;"richness";14
"HD";2016;1;"dd";3;2;"evenness";3,80270283793749
"HD";2016;1;"dd";3;3;"abundance";8050,62022729955
"HD";2016;1;"dd";3;3;"richness";14
"HD";2016;1;"dd";3;3;"evenness";4,45075193540338
"HD";2016;1;"dd";3;4;"abundance";2939,22307157743
"HD";2016;1;"dd";3;4;"richness";13
"HD";2016;1;"dd";3;4;"evenness";6,14021476078993
"HD";2016;1;"dd";3;5;"abundance";5899,90185957264
"HD";2016;1;"dd";3;5;"richness";12
"HD";2016;1;"dd";3;5;"evenness";3,99553528204265
"HD";2016;1;"dd";3;6;"abundance";2644,34557862194
"HD";2016;1;"dd";3;6;"richness";11
"HD";2016;1;"dd";3;6;"evenness";4,65322142812479
"HD";2016;1;"dd";3;7;"abundance";3184,23647891724
"HD";2016;1;"dd";3;7;"richness";13
"HD";2016;1;"dd";3;7;"evenness";3,75696792733929
"HD";2016;1;"dd";3;8;"abundance";3474,10303865661
"HD";2016;1;"dd";3;8;"richness";12
"HD";2016;1;"dd";3;8;"evenness";3,06201656579704
"HD";2016;1;"dd";3;9;"abundance";806,493763764556
"HD";2016;1;"dd";3;9;"richness";11
"HD";2016;1;"dd";3;9;"evenness";3,96318510999725
"HD";2016;1;"dd";3;10;"abundance";1719,12901253324
"HD";2016;1;"dd";3;10;"richness";11
"HD";2016;1;"dd";3;10;"evenness";3,66697770435079
"HD";2016;1;"dd";3;11;"abundance";479,172958261505
"HD";2016;1;"dd";3;11;"richness";11
"HD";2016;1;"dd";3;11;"evenness";5,39986070610293
"HD";2016;1;"dd";3;12;"abundance";1157,59506124076
"HD";2016;1;"dd";3;12;"richness";11
"HD";2016;1;"dd";3;12;"evenness";4,82851569741385
"HD";2016;1;"dd";3;13;"abundance";1689,09899790608
"HD";2016;1;"dd";3;13;"richness";11
"HD";2016;1;"dd";3;13;"evenness";4,10061275966765
