"sp";"lambda"
"BEMA";75,3196946723546
"CETE";905,661248900526
"HOMA";43,406803601305
"LEMA";108,525709213048
"PAIN";88,2045599196648
"PLCO";63,7479989438946
"POMO";110,758707059012
"SASO";81,2250642393212
"CHFU";230,349819523463
"POMA";114,148336151974
"SCLA";113,545424872977
"SOAS";215,731985500328
"PUPA";601,093392885725
"SPRU";1000
"MESP";81,1534642185985
