"model";"year.predicted";"plot";"type";"intensity";"timestep";"metric";"value"
"HD";2016;1;"dd";1;1;"abundance";5889
"HD";2016;1;"dd";1;1;"richness";15
"HD";2016;1;"dd";1;1;"evenness";8,52549948037436
"HD";2016;1;"dd";1;2;"abundance";834796,747143883
"HD";2016;1;"dd";1;2;"richness";15
"HD";2016;1;"dd";1;2;"evenness";6,99703654917241
"HD";2016;1;"dd";1;3;"abundance";5391710,14406107
"HD";2016;1;"dd";1;3;"richness";12
"HD";2016;1;"dd";1;3;"evenness";1,59294774221811
"HD";2016;1;"dd";1;4;"abundance";710904831,806129
"HD";2016;1;"dd";1;4;"richness";13
"HD";2016;1;"dd";1;4;"evenness";1,29397623515509
"HD";2016;1;"dd";1;5;"abundance";197092008420,698
"HD";2016;1;"dd";1;5;"richness";8
"HD";2016;1;"dd";1;5;"evenness";1,0903420093652
"HD";2016;1;"dd";1;6;"abundance";58071125319419,5
"HD";2016;1;"dd";1;6;"richness";7
"HD";2016;1;"dd";1;6;"evenness";1,06248379892925
"HD";2016;1;"dd";1;7;"abundance";16337306631115194
"HD";2016;1;"dd";1;7;"richness";7
"HD";2016;1;"dd";1;7;"evenness";1,0433936334563
"HD";2016;1;"dd";1;8;"abundance";4694890165641055232
"HD";2016;1;"dd";1;8;"richness";6
"HD";2016;1;"dd";1;8;"evenness";1,03063315356784
"HD";2016;1;"dd";1;9;"abundance";1,38656974831151e+21
"HD";2016;1;"dd";1;9;"richness";6
"HD";2016;1;"dd";1;9;"evenness";1,02106906022089
"HD";2016;1;"dd";1;10;"abundance";4,1100029505663e+23
"HD";2016;1;"dd";1;10;"richness";6
"HD";2016;1;"dd";1;10;"evenness";1,01440265762017
"HD";2016;1;"dd";1;11;"abundance";1,20804005248674e+26
"HD";2016;1;"dd";1;11;"richness";7
"HD";2016;1;"dd";1;11;"evenness";1,00983195578952
"HD";2016;1;"dd";1;12;"abundance";3,46666678008784e+28
"HD";2016;1;"dd";1;12;"richness";7
"HD";2016;1;"dd";1;12;"evenness";1,00642223390768
"HD";2016;1;"dd";1;13;"abundance";1,02856177578902e+31
"HD";2016;1;"dd";1;13;"richness";8
"HD";2016;1;"dd";1;13;"evenness";1,00435067117927
"HD";2016;1;"dd";1;14;"abundance";3,04433008289543e+33
"HD";2016;1;"dd";1;14;"richness";8
"HD";2016;1;"dd";1;14;"evenness";1,00294664446697
"HD";2016;1;"dd";1;15;"abundance";9,03418436283355e+35
"HD";2016;1;"dd";1;15;"richness";8
"HD";2016;1;"dd";1;15;"evenness";1,00193763853094
"HD";2016;1;"dd";1;16;"abundance";2,67632121994183e+38
"HD";2016;1;"dd";1;16;"richness";8
"HD";2016;1;"dd";1;16;"evenness";1,00073535797149
"HD";2016;1;"dd";1;17;"abundance";7,88857204271145e+40
"HD";2016;1;"dd";1;17;"richness";6
"HD";2016;1;"dd";1;17;"evenness";1,00016725513522
"HD";2016;1;"dd";1;18;"abundance";2,32263557738228e+43
"HD";2016;1;"dd";1;18;"richness";7
"HD";2016;1;"dd";1;18;"evenness";1,0001123129816
"HD";2016;1;"dd";1;19;"abundance";6,89352143288354e+45
"HD";2016;1;"dd";1;19;"richness";7
"HD";2016;1;"dd";1;19;"evenness";1,00007477595781
"HD";2016;1;"dd";1;20;"abundance";2,04581887361119e+48
"HD";2016;1;"dd";1;20;"richness";7
"HD";2016;1;"dd";1;20;"evenness";1,00004973170578
"HD";2016;1;"dd";2;1;"abundance";5889
"HD";2016;1;"dd";2;1;"richness";15
"HD";2016;1;"dd";2;1;"evenness";8,52549948037436
"HD";2016;1;"dd";2;2;"abundance";833811,563349297
"HD";2016;1;"dd";2;2;"richness";15
"HD";2016;1;"dd";2;2;"evenness";7,00080208913984
"HD";2016;1;"dd";2;3;"abundance";140423,452093165
"HD";2016;1;"dd";2;3;"richness";11
"HD";2016;1;"dd";2;3;"evenness";3,29039859753338
"HD";2016;1;"dd";2;4;"abundance";103072,425269328
"HD";2016;1;"dd";2;4;"richness";11
"HD";2016;1;"dd";2;4;"evenness";4,48201195668367
"HD";2016;1;"dd";2;5;"abundance";59526,57858353
"HD";2016;1;"dd";2;5;"richness";10
"HD";2016;1;"dd";2;5;"evenness";1,9078738796336
"HD";2016;1;"dd";2;6;"abundance";56492,1337756267
"HD";2016;1;"dd";2;6;"richness";10
"HD";2016;1;"dd";2;6;"evenness";4,45868209612337
"HD";2016;1;"dd";2;7;"abundance";68246,8547475823
"HD";2016;1;"dd";2;7;"richness";11
"HD";2016;1;"dd";2;7;"evenness";3,00147423674451
"HD";2016;1;"dd";2;8;"abundance";17253,1134928477
"HD";2016;1;"dd";2;8;"richness";9
"HD";2016;1;"dd";2;8;"evenness";4,18644453328569
"HD";2016;1;"dd";2;9;"abundance";63978,9189992834
"HD";2016;1;"dd";2;9;"richness";9
"HD";2016;1;"dd";2;9;"evenness";3,57210704761055
"HD";2016;1;"dd";2;10;"abundance";74831,4370290458
"HD";2016;1;"dd";2;10;"richness";11
"HD";2016;1;"dd";2;10;"evenness";3,67700458927403
"HD";2016;1;"dd";2;11;"abundance";18828,697704391
"HD";2016;1;"dd";2;11;"richness";10
"HD";2016;1;"dd";2;11;"evenness";4,29477642967982
"HD";2016;1;"dd";2;12;"abundance";31520,9953595592
"HD";2016;1;"dd";2;12;"richness";11
"HD";2016;1;"dd";2;12;"evenness";5,08140735340593
"HD";2016;1;"dd";2;13;"abundance";43068,8890131852
"HD";2016;1;"dd";2;13;"richness";10
"HD";2016;1;"dd";2;13;"evenness";2,81652350334267
"HD";2016;1;"dd";2;14;"abundance";271028,02545461
"HD";2016;1;"dd";2;14;"richness";10
"HD";2016;1;"dd";2;14;"evenness";2,20544338961417
"HD";2016;1;"dd";2;15;"abundance";23272,9464941158
"HD";2016;1;"dd";2;15;"richness";9
"HD";2016;1;"dd";2;15;"evenness";4,37144678298259
"HD";2016;1;"dd";2;16;"abundance";20350,5172255472
"HD";2016;1;"dd";2;16;"richness";11
"HD";2016;1;"dd";2;16;"evenness";4,46635862097648
"HD";2016;1;"dd";2;17;"abundance";18349,3263779475
"HD";2016;1;"dd";2;17;"richness";10
"HD";2016;1;"dd";2;17;"evenness";6,56212364322029
"HD";2016;1;"dd";2;18;"abundance";117417,826887117
"HD";2016;1;"dd";2;18;"richness";10
"HD";2016;1;"dd";2;18;"evenness";1,68813235502509
"HD";2016;1;"dd";2;19;"abundance";15447,3216081175
"HD";2016;1;"dd";2;19;"richness";9
"HD";2016;1;"dd";2;19;"evenness";4,65967291907277
"HD";2016;1;"dd";2;20;"abundance";8457,84245524715
"HD";2016;1;"dd";2;20;"richness";9
"HD";2016;1;"dd";2;20;"evenness";4,75379701406884
"HD";2016;1;"dd";3;1;"abundance";5889
"HD";2016;1;"dd";3;1;"richness";15
"HD";2016;1;"dd";3;1;"evenness";8,52549948037436
"HD";2016;1;"dd";3;2;"abundance";832836,590020636
"HD";2016;1;"dd";3;2;"richness";15
"HD";2016;1;"dd";3;2;"evenness";7,00453022937054
"HD";2016;1;"dd";3;3;"abundance";93146,9985879306
"HD";2016;1;"dd";3;3;"richness";11
"HD";2016;1;"dd";3;3;"evenness";3,89558944720093
"HD";2016;1;"dd";3;4;"abundance";109831,649224867
"HD";2016;1;"dd";3;4;"richness";11
"HD";2016;1;"dd";3;4;"evenness";4,10478209802907
"HD";2016;1;"dd";3;5;"abundance";12751,8378841964
"HD";2016;1;"dd";3;5;"richness";10
"HD";2016;1;"dd";3;5;"evenness";5,91130416331323
"HD";2016;1;"dd";3;6;"abundance";57745,2494633675
"HD";2016;1;"dd";3;6;"richness";10
"HD";2016;1;"dd";3;6;"evenness";4,22161672378404
"HD";2016;1;"dd";3;7;"abundance";18697,9624359642
"HD";2016;1;"dd";3;7;"richness";10
"HD";2016;1;"dd";3;7;"evenness";6,5726657287836
"HD";2016;1;"dd";3;8;"abundance";53874,0264841862
"HD";2016;1;"dd";3;8;"richness";9
"HD";2016;1;"dd";3;8;"evenness";4,18611817874955
"HD";2016;1;"dd";3;9;"abundance";16491,8259792209
"HD";2016;1;"dd";3;9;"richness";9
"HD";2016;1;"dd";3;9;"evenness";4,20126835847466
"HD";2016;1;"dd";3;10;"abundance";12462,3968657539
"HD";2016;1;"dd";3;10;"richness";10
"HD";2016;1;"dd";3;10;"evenness";4,79668040027025
"HD";2016;1;"dd";3;11;"abundance";8873,0640840712
"HD";2016;1;"dd";3;11;"richness";11
"HD";2016;1;"dd";3;11;"evenness";5,31754569164002
"HD";2016;1;"dd";3;12;"abundance";35230,7387157789
"HD";2016;1;"dd";3;12;"richness";12
"HD";2016;1;"dd";3;12;"evenness";5,04288891053905
"HD";2016;1;"dd";3;13;"abundance";100725,486794695
"HD";2016;1;"dd";3;13;"richness";9
"HD";2016;1;"dd";3;13;"evenness";1,64475097325228
