"sp";"lambda"
"BEMA";95,8637922138199
"CETE";783,027436051024
"HOMA";67,7332928172904
"LEMA";216,49507873306
"MESU";164,969707193707
"PAIN";103,558453825022
"PLCO";102,085755704285
"POMO";166,484923650229
"SASO";90,0302024080682
"CHFU";315,529280399485
"POMA";205,86178144997
"SCLA";105,912818856738
"SOAS";240,048016210798
"PUPA";603,143579422948
"SPRU";697,867853481759
"CHMI";308,150273408427
"MEEL";25,519225363126
"LYTR";585,706507802996
