"";"BEMA";"CETE";"CHFU";"HOMA";"LEMA";"MESP";"PAIN";"PLCO";"POMA";"POMO";"PUPA";"SASO";"SCLA";"SOAS";"SPRU"
"BEMA";0,5;0;0,157661214645035;0,00327705046856511;0;0;0;0,00363596246297197;0;0;0;0;0;0;0
"CETE";0;0,5;0,278418120940522;0;0;0,0813524012462685;0;0;0;0;0;0;0;0,5;0
"HOMA";0,00417442297579088;0;0,5;0,0200161392705542;0;0;0;0;0;0;0;0;0;0;0,0467644920595186
"LEMA";0;0;0;0,5;0;0;0;0;0,0184357791356571;0;0;0;0;0,237064779548556;0,0991381322177052
"PAIN";0,0404304283613821;0;0;0,0377314304548112;0,5;0;0,25187459839259;0;0;0;0,0666713518927667;0;0;0,186136056464709;0
"PLCO";0;0;0;0,0251714513240347;0;0,5;0;0;0;0,0159510865043354;0,138077736301733;0;0;0;0,034824353510696
"POMO";0,243894123505635;0;0;0,0293680439451086;0;0;0,5;0;0,00262485957380089;0;0;0;0;0;0,470651044005862
"SASO";0;0,11251546975216;0;0,0027314399834227;0;0;0;0,5;0;0;0;0,138290740550345;0;NA;0
"CHFU";0;0;0;0,0105264860525059;0,0102062997435594;0;NA;0;0,5;0;0;0;0;0,0716137151800187;0
"POMA";0,0942553125252913;0;0;0,0100019956283524;0;0;0;0;0;0,5;0;0;0;0,317272854570807;0
"SCLA";0,225880087530968;0;0;0,0335424009894579;0,110865429779703;0,0557557193006541;0;0,0414997317572693;0;0;0,5;0,0408865469398302;0,083210676758511;0,5;0,16429177517122
"SOAS";0;0;0,0787189951447615;0,0703347123717942;0,0347629586955909;0,00835046155486121;0,119077793169945;0,112530403132179;0;0;NA;0,5;0;0;0,015739682535662
"PUPA";0;0;0,109876200467687;0;0;0,00433799265701946;0;0;0;0;0;0;0,5;0;0
"SPRU";0;0;0;0;0;0;0;0;0;0,411329143644452;0;0;0;0,5;0
"MESP";0;0;0,272481743001302;0,00186506025839608;0,107285097375746;0;0;0,0464842850638375;0;0;0;0;0,209554386262716;0,358174932443768;0,5
