"year.predicted";"plot";"type";"intensity";"timestep";"metric";"value"
2016;1;"dd";1;2;"abundance";245407,036875541
2016;1;"dd";1;2;"richness";15
2016;1;"dd";1;2;"evenness";5,00575852596218
2016;1;"dd";1;5;"abundance";274355880997,234
2016;1;"dd";1;5;"richness";9
2016;1;"dd";1;5;"evenness";1,49240498561835
2016;1;"dd";1;10;"abundance";2,38940916465164e+26
2016;1;"dd";1;10;"richness";9
2016;1;"dd";1;10;"evenness";1,00000642318955
2016;1;"dd";1;15;"abundance";8,55689952338507e+40
2016;1;"dd";1;15;"richness";9
2016;1;"dd";1;15;"evenness";1,00000000010188
2016;1;"dd";1;20;"abundance";8,54493142689331e+55
2016;1;"dd";1;20;"richness";9
2016;1;"dd";1;20;"evenness";1
2016;1;"dd";2;2;"abundance";225933,525542185
2016;1;"dd";2;2;"richness";15
2016;1;"dd";2;2;"evenness";5,12069974281177
2016;1;"dd";2;5;"abundance";94686,3606533405
2016;1;"dd";2;5;"richness";7
2016;1;"dd";2;5;"evenness";2,54680523836414
2016;1;"dd";2;10;"abundance";179455,386335277
2016;1;"dd";2;10;"richness";10
2016;1;"dd";2;10;"evenness";3,54024811411891
2016;1;"dd";2;15;"abundance";69351,7690169775
2016;1;"dd";2;15;"richness";8
2016;1;"dd";2;15;"evenness";2,90440692573906
2016;1;"dd";2;20;"abundance";209437,403805947
2016;1;"dd";2;20;"richness";9
2016;1;"dd";2;20;"evenness";2,36941764131459
2016;1;"dd";3;2;"abundance";209504,784786684
2016;1;"dd";3;2;"richness";15
2016;1;"dd";3;2;"evenness";5,22776549135968
2016;1;"dd";3;5;"abundance";175180,420279204
2016;1;"dd";3;5;"richness";9
2016;1;"dd";3;5;"evenness";3,32647959029253
2016;1;"dd";3;10;"abundance";45268,2980354757
2016;1;"dd";3;10;"richness";8
2016;1;"dd";3;10;"evenness";2,73594464251537
2016;1;"dd";3;15;"abundance";35456,6607987945
2016;1;"dd";3;15;"richness";9
2016;1;"dd";3;15;"evenness";3,05283044709811
2016;1;"dd";3;20;"abundance";52043,4519709128
2016;1;"dd";3;20;"richness";8
2016;1;"dd";3;20;"evenness";2,9762544004675
2016;1;"dd";4;2;"abundance";195553,424997997
2016;1;"dd";4;2;"richness";15
2016;1;"dd";4;2;"evenness";5,33101427626593
2016;1;"dd";4;5;"abundance";59942,751417616
2016;1;"dd";4;5;"richness";8
2016;1;"dd";4;5;"evenness";2,51591856222348
2016;1;"dd";4;10;"abundance";58621,0016220604
2016;1;"dd";4;10;"richness";9
2016;1;"dd";4;10;"evenness";2,69881021562104
2016;1;"dd";4;15;"abundance";41143,8905921027
2016;1;"dd";4;15;"richness";9
2016;1;"dd";4;15;"evenness";2,26259747490019
2016;1;"dd";4;20;"abundance";30667,2667426272
2016;1;"dd";4;20;"richness";10
2016;1;"dd";4;20;"evenness";4,38315629190382
2016;1;"dd";5;2;"abundance";183658,401859674
2016;1;"dd";5;2;"richness";15
2016;1;"dd";5;2;"evenness";5,43444768186332
2016;1;"dd";5;5;"abundance";21437,8685690974
2016;1;"dd";5;5;"richness";8
2016;1;"dd";5;5;"evenness";3,57960159320677
2016;1;"dd";5;10;"abundance";41976,5729753346
2016;1;"dd";5;10;"richness";9
2016;1;"dd";5;10;"evenness";2,6914987133779
2016;1;"dd";5;15;"abundance";21019,8133514276
2016;1;"dd";5;15;"richness";10
2016;1;"dd";5;15;"evenness";5,96661735740219
2016;1;"dd";5;20;"abundance";28996,5552077987
2016;1;"dd";5;20;"richness";8
2016;1;"dd";5;20;"evenness";3,69478755220631
2016;1;"dd";6;2;"abundance";173516,71932315
2016;1;"dd";6;2;"richness";15
2016;1;"dd";6;2;"evenness";5,54192804014358
2016;1;"dd";6;5;"abundance";20742,6212008592
2016;1;"dd";6;5;"richness";8
2016;1;"dd";6;5;"evenness";3,4663433398291
2016;1;"dd";6;10;"abundance";32497,9243595711
2016;1;"dd";6;10;"richness";8
2016;1;"dd";6;10;"evenness";3,63954114720649
2016;1;"dd";6;15;"abundance";14785,7477716044
2016;1;"dd";6;15;"richness";9
2016;1;"dd";6;15;"evenness";5,30461851252016
2016;1;"dd";6;20;"abundance";28636,7007571892
2016;1;"dd";6;20;"richness";9
2016;1;"dd";6;20;"evenness";3,69684616239974
2016;1;"dd";7;2;"abundance";164927,32935116
2016;1;"dd";7;2;"richness";15
