"year";"plot";"SAD.model";"sp";"rel.abund";"sp.rank"
2015;1;"niche_fitness";"PUPA";0,396090815660661;1
2015;1;"niche_fitness";"CETE";0,296784302472262;2
2015;1;"niche_fitness";"LEMA";0,057547486612016;3
2015;1;"niche_fitness";"SPRU";0,055438068285053;4
2015;1;"niche_fitness";"POMA";0,0361683147565046;5
2015;1;"niche_fitness";"SOAS";0,0332595755471053;6
2015;1;"niche_fitness";"POMO";0,0283214435750279;7
2015;1;"niche_fitness";"PLCO";0,0195865950485336;8
2015;1;"niche_fitness";"BEMA";0,0182975293859772;9
2015;1;"niche_fitness";"HOMA";0,0176060752312073;10
2015;1;"niche_fitness";"SASO";0,0155147455730332;11
2015;1;"niche_fitness";"MESU";0,0126579352401123;12
2015;1;"niche_fitness";"SCLA";0,00586770375261752;13
2015;1;"niche_fitness";"PAIN";0,00508261152295787;14
2015;1;"niche_fitness";"MEEL";0,00177679733693087;15
2015;2;"niche_fitness";"PUPA";0,432676754358509;1
2015;2;"niche_fitness";"CETE";0,264518686901267;2
2015;2;"niche_fitness";"SPRU";0,0713595471225156;3
2015;2;"niche_fitness";"LEMA";0,0546732988528571;4
2015;2;"niche_fitness";"SOAS";0,0395561007249912;5
2015;2;"niche_fitness";"POMA";0,0257565087272918;6
2015;2;"niche_fitness";"POMO";0,0223142113176011;7
2015;2;"niche_fitness";"BEMA";0,0182422820079335;8
2015;2;"niche_fitness";"PLCO";0,0172411636935587;9
2015;2;"niche_fitness";"SASO";0,0165418899041721;10
2015;2;"niche_fitness";"HOMA";0,0149935657439022;11
2015;2;"niche_fitness";"MESU";0,0109359545921805;12
2015;2;"niche_fitness";"SCLA";0,00481102273526361;13
2015;2;"niche_fitness";"PAIN";0,00373556317981407;14
2015;2;"niche_fitness";"MEEL";0,00264345013814231;15
2015;3;"niche_fitness";"PUPA";0,382114521544204;1
2015;3;"niche_fitness";"CETE";0,208797505592131;2
2015;3;"niche_fitness";"CHFU";0,14921124687927;3
2015;3;"niche_fitness";"LEMA";0,0728558967441412;4
2015;3;"niche_fitness";"SOAS";0,0652843349928126;5
2015;3;"niche_fitness";"POMA";0,0423759565528003;6
2015;3;"niche_fitness";"POMO";0,0421503256714706;7
2015;3;"niche_fitness";"MESU";0,0157960005194897;8
2015;3;"niche_fitness";"SASO";0,0127483832351849;9
2015;3;"niche_fitness";"MEEL";0,00591648420510149;10
2015;3;"niche_fitness";"PAIN";0,00274934406339424;11
2015;4;"niche_fitness";"PUPA";0,488947217818752;1
2015;4;"niche_fitness";"LEMA";0,292940666148301;2
2015;4;"niche_fitness";"PLCO";0,117394423662771;3
2015;4;"niche_fitness";"SASO";0,0475448401653601;4
2015;4;"niche_fitness";"BEMA";0,0373640404050857;5
2015;4;"niche_fitness";"PAIN";0,01580881179973;6
2015;5;"niche_fitness";"PUPA";0,515637786029773;1
2015;5;"niche_fitness";"LEMA";0,211838403319724;2
2015;5;"niche_fitness";"SOAS";0,105151617034248;3
2015;5;"niche_fitness";"PLCO";0,0880305267124688;4
2015;5;"niche_fitness";"BEMA";0,0331919762134747;5
2015;5;"niche_fitness";"SASO";0,0328353841485424;6
2015;5;"niche_fitness";"PAIN";0,0133143065417689;7
2015;6;"niche_fitness";"SPRU";0,373326230760005;1
2015;6;"niche_fitness";"LEMA";0,226348447795207;2
