"sp";"lambda"
"BEMA";1,02420578855602
"CETE";1,01270514839473
"HOMA";1,03063129431134
"LEMA";1,02078165385271
"PAIN";1,02438482239363
"PLCO";1,02672115889752
"POMO";1,02095016010732
"SASO";1,02253042455997
"CHFU";1,0160578307482
"POMA";1,01855421588235
"SCLA";1,02457130357193
"SOAS";1,02012969459351
"PUPA";1,01304292505674
"SPRU";1,01305661919593
"MESP";1,02157740764504
