"year";"plot";"sp";"rel.abund";"sp.rank";"SAD.model"
2015;1;"HOMA";0,194939718118526;1;"observed"
2015;1;"PLCO";0,190015282730515;2;"observed"
2015;1;"POMA";0,185260655459331;3;"observed"
2015;1;"SASO";0,108847002886738;4;"observed"
2015;1;"LEMA";0,0908473425029716;5;"observed"
2015;1;"CHFU";0,0896586856851758;6;"observed"
2015;1;"PAIN";0,043640686024792;7;"observed"
2015;1;"POMO";0,0332823908982849;8;"observed"
2015;1;"CETE";0,0300560366785532;9;"observed"
2015;1;"SOAS";0,0120563762947869;10;"observed"
2015;1;"MESU";0,00679232467311938;11;"observed"
2015;1;"BEMA";0,00475462727118356;12;"observed"
2015;1;"SCLA";0,00475462727118356;13;"observed"
2015;1;"PUPA";0,00373577857021566;14;"observed"
2015;1;"MEEL";0,00101884870096791;15;"observed"
2015;1;"SPRU";0,000339616233655969;16;"observed"
2015;2;"HOMA";0,211326979472141;1;"observed"
2015;2;"PLCO";0,176319648093842;2;"observed"
2015;2;"POMA";0,167888563049853;3;"observed"
2015;2;"LEMA";0,129032258064516;4;"observed"
2015;2;"CETE";0,0982404692082111;5;"observed"
2015;2;"CHFU";0,062133431085044;6;"observed"
2015;2;"PAIN";0,0331744868035191;7;"observed"
2015;2;"MESU";0,0254765395894428;8;"observed"
2015;2;"SOAS";0,0238269794721408;9;"observed"
2015;2;"POMO";0,0214442815249267;10;"observed"
2015;2;"SASO";0,0168621700879765;11;"observed"
2015;2;"SCLA";0,0157624633431085;12;"observed"
2015;2;"PUPA";0,00733137829912024;13;"observed"
2015;2;"BEMA";0,00476539589442815;14;"observed"
2015;2;"MEEL";0,00458211143695015;15;"observed"
2015;2;"SPRU";0,00183284457478006;16;"observed"
2015;3;"LEMA";0,275156576200418;1;"observed"
2015;3;"POMA";0,25553235908142;2;"observed"
2015;3;"MESU";0,0989561586638831;3;"observed"
2015;3;"CHFU";0,0910229645093946;4;"observed"
2015;3;"PAIN";0,0835073068893528;5;"observed"
2015;3;"SASO";0,0755741127348643;6;"observed"
2015;3;"CETE";0,0705636743215031;7;"observed"
2015;3;"POMO";0,0250521920668058;8;"observed"
2015;3;"SOAS";0,0104384133611691;9;"observed"
