"year";"plot";"subplot";"species";"observed";"predicted"
2016;1;"A1";"BEMA";1;11,3038027907503
2016;2;"A1";"BEMA";2;12,3544696074685
2016;3;"A1";"BEMA";1;NA
2016;4;"A1";"BEMA";6;5,91115784310375
2016;5;"A1";"BEMA";1;5,89424476081347
2016;6;"A1";"BEMA";1;5,68113304110036
2016;7;"A1";"BEMA";15;36,5330444764134
2016;8;"A1";"BEMA";9;58,5711982125763
2016;9;"A1";"BEMA";3;29,2218688984227
2016;1;"A2";"BEMA";3;14,9786743467174
2016;2;"A2";"BEMA";4;8,6005836282264
2016;3;"A2";"BEMA";2;57,7841693320027
2016;4;"A2";"BEMA";1;16,5596164547444
2016;5;"A2";"BEMA";1;11,5929239758827
2016;6;"A2";"BEMA";3;8,51748525513553
2016;7;"A2";"BEMA";14;54,887774545417
2016;8;"A2";"BEMA";12;54,4280678217914
2016;9;"A2";"BEMA";7;41,90677296279
2016;1;"A3";"BEMA";4;10,3313093626295
2016;2;"A3";"BEMA";4;17,2869417838563
2016;3;"A3";"BEMA";4;NA
2016;4;"A3";"BEMA";1;4,50244346143747
2016;5;"A3";"BEMA";1;13,7813062094364
2016;6;"A3";"BEMA";1;2,36733552112167
2016;7;"A3";"BEMA";16;71,1856729663861
2016;8;"A3";"BEMA";2;41,90677296279
2016;9;"A3";"BEMA";6;29,2218688984227
2016;1;"A4";"BEMA";2;14,8791556833359
2016;2;"A4";"BEMA";1;7,72990942856966
2016;3;"A4";"BEMA";2;NA
2016;4;"A4";"BEMA";1;7,792690481988
2016;5;"A4";"BEMA";1;12,0947499984203
2016;6;"A4";"BEMA";1;6,62732645499888
2016;7;"A4";"BEMA";10;70,7084330581545
2016;8;"A4";"BEMA";13;29,2218688984227
2016;9;"A4";"BEMA";10;29,2218688984227
2016;1;"A5";"BEMA";2;17,287013642594
2016;2;"A5";"BEMA";2;12,9542457197342
2016;3;"A5";"BEMA";4;NA
2016;4;"A5";"BEMA";1;2,97877088729083
2016;5;"A5";"BEMA";0;NA
2016;6;"A5";"BEMA";6;31,9786169083224
2016;7;"A5";"BEMA";16;29,2218688984227
2016;8;"A5";"BEMA";4;79,3497190699495
2016;9;"A5";"BEMA";8;29,2218688984227
2016;1;"A6";"BEMA";1;NA
2016;2;"A6";"BEMA";2;NA
2016;3;"A6";"BEMA";2;NA
2016;4;"A6";"BEMA";6;4,69921485912991
2016;5;"A6";"BEMA";0;NA
2016;6;"A6";"BEMA";3;NA
2016;7;"A6";"BEMA";6;78,4327927115181
2016;8;"A6";"BEMA";12;71,6784405109881
2016;9;"A6";"BEMA";10;29,2218688984227
2016;1;"B1";"BEMA";3;18,5188940130709
2016;2;"B1";"BEMA";4;11,5365619110681
2016;3;"B1";"BEMA";3;NA
2016;4;"B1";"BEMA";1;5,48202791356471
2016;5;"B1";"BEMA";2;15,1889574793158
2016;6;"B1";"BEMA";1;3,78422386364636
2016;7;"B1";"BEMA";5;69,1591896161783
2016;8;"B1";"BEMA";5;44,9411253199536
2016;9;"B1";"BEMA";11;29,2218688984227
